stress_group,stress_level,stress_parameter,stress_value,seed,method_label,mean_error_m,median_error_m,p90_error_m,failure_rate,zone_accuracy,trajectory_smoothness_m_per_step,notes
mixed_dynamic,mild,wifi_sigma_db+blockage_prob,0.0,104,static_fusion,0.911703516761611,0.4377608299208551,2.4702917317588824,0.13,0.82,1.1032774966595682,"exact overrides: {'wifi_model.noisy_sigma_db': 4.0, 'vlp_model.blockage_prob': 0.1}; source scenario=s4_mixed_dynamic"
mixed_dynamic,mild,wifi_sigma_db+blockage_prob,0.0,104,vlp_only,0.911703516761611,0.4377608299208551,2.4702917317588824,0.13,0.82,1.1032774966595682,"exact overrides: {'wifi_model.noisy_sigma_db': 4.0, 'vlp_model.blockage_prob': 0.1}; source scenario=s4_mixed_dynamic"
mixed_dynamic,mild,wifi_sigma_db+blockage_prob,0.0,104,wifi_only,1.5482999854006008,1.017728726590437,2.8326719570909797,0.17,0.49,2.060433533194075,"exact overrides: {'wifi_model.noisy_sigma_db': 4.0, 'vlp_model.blockage_prob': 0.1}; source scenario=s4_mixed_dynamic"
mixed_dynamic,mild,wifi_sigma_db+blockage_prob,0.0,105,adaptive_fusion,0.5351858055065751,0.3987360257660191,1.015012342575508,0.01,0.89,0.5488516066789301,"exact overrides: {'wifi_model.noisy_sigma_db': 4.0, 'vlp_model.blockage_prob': 0.1}; source scenario=s4_mixed_dynamic"
mixed_dynamic,mild,wifi_sigma_db+blockage_prob,0.0,105,graph_diffusion_3,0.9179300964283492,0.8126195602664119,1.791032834547239,0.07,0.62,1.1303102138160634,"exact overrides: {'wifi_model.noisy_sigma_db': 4.0, 'vlp_model.blockage_prob': 0.1}; source scenario=s4_mixed_dynamic"
mixed_dynamic,mild,wifi_sigma_db+blockage_prob,0.0,105,static_fusion,0.7476531139747945,0.4236925984693393,1.4444021940268217,0.09,0.82,0.9952218946184318,"exact overrides: {'wifi_model.noisy_sigma_db': 4.0, 'vlp_model.blockage_prob': 0.1}; source scenario=s4_mixed_dynamic"
mixed_dynamic,mild,wifi_sigma_db+blockage_prob,0.0,105,vlp_only,0.7476531139747945,0.4236925984693393,1.4444021940268217,0.09,0.82,0.9952218946184318,"exact overrides: {'wifi_model.noisy_sigma_db': 4.0, 'vlp_model.blockage_prob': 0.1}; source scenario=s4_mixed_dynamic"
mixed_dynamic,mild,wifi_sigma_db+blockage_prob,0.0,105,wifi_only,1.666225038869391,1.348108062309992,3.346740729329273,0.28,0.4,2.376212429222257,"exact overrides: {'wifi_model.noisy_sigma_db': 4.0, 'vlp_model.blockage_prob': 0.1}; source scenario=s4_mixed_dynamic"
mixed_dynamic,mild,wifi_sigma_db+blockage_prob,0.0,106,adaptive_fusion,0.5324446506531708,0.4783866658000923,0.8341221412241013,0.01,0.94,0.5880121559151154,"exact overrides: {'wifi_model.noisy_sigma_db': 4.0, 'vlp_model.blockage_prob': 0.1}; source scenario=s4_mixed_dynamic"
mixed_dynamic,mild,wifi_sigma_db+blockage_prob,0.0,106,graph_diffusion_3,0.9994743984554852,0.7014224393923473,1.8766812439884248,0.1,0.65,1.1670738677300687,"exact overrides: {'wifi_model.noisy_sigma_db': 4.0, 'vlp_model.blockage_prob': 0.1}; source scenario=s4_mixed_dynamic"
