stress_group,stress_level,stress_parameter,stress_value,method_label,n_seeds,mean_error_m_mean,mean_error_m_std,mean_error_m_ci95_low,mean_error_m_ci95_high,median_error_m_mean,median_error_m_std,p90_error_m_mean,p90_error_m_std,p90_error_m_ci95_low,p90_error_m_ci95_high,failure_rate_mean,failure_rate_std,zone_accuracy_mean,zone_accuracy_std,trajectory_smoothness_m_per_step_mean,trajectory_smoothness_m_per_step_std
vlp_blockage,0.20,blockage_prob,0.2,vlp_only,10,1.0792123228787265,0.11593382603507221,0.9962782597889359,1.162146385968517,0.5501427713814195,0.08952579925413492,2.9199353024182995,0.42886376526194625,2.613144646217584,3.226725958619015,0.185,0.04453463071962462,0.7040000000000001,0.06719788356455547,1.3303540271340766,0.16597725284631504
vlp_blockage,0.20,blockage_prob,0.2,wifi_only,10,1.357438801077118,0.1500835895433217,1.250075468824436,1.4648021333297998,1.090989209620473,0.06980566889570379,2.6863242175774986,0.40789447770067383,2.3945340860470243,2.978114349107973,0.187,0.042700507413066344,0.461,0.030349812373573423,1.903374192542077,0.26286592832820205
vlp_blockage,0.30,blockage_prob,0.3,adaptive_fusion,10,0.8751970030837442,0.14421164131995143,0.7720342095441525,0.9783597966233358,0.5514458700826859,0.07432899486873841,1.9841835117092543,0.5758990776468282,1.5722101293724597,2.396156894046049,0.10700000000000001,0.04667856991049414,0.7409999999999999,0.07593125545883958,0.7347546096552177,0.13078707138355034
vlp_blockage,0.30,blockage_prob,0.3,graph_diffusion_3,10,0.9495313703092266,0.09200107741449161,0.8837177642240284,1.015344976394425,0.7893490207055407,0.08095033996695655,1.8575769144284433,0.2661420776979063,1.6671903411778648,2.047963487679022,0.08299999999999999,0.03917198545446024,0.642,0.06250333324444918,1.1288941067774545,0.09833379238078856
vlp_blockage,0.30,blockage_prob,0.3,static_fusion,10,1.1227831325216378,0.18042791042376807,0.9937127807701388,1.2518534842731368,0.5705557320937478,0.09829384916521869,3.0543486404903497,0.5879046858287622,2.633786963430231,3.4749103175504685,0.199,0.0530094331227943,0.6890000000000001,0.076077445920442,1.4216698997348585,0.22892068382828373
vlp_blockage,0.30,blockage_prob,0.3,vlp_only,10,1.1229661173105305,0.17657887441244896,0.9966492000510585,1.2492830345700026,0.5697411904912882,0.09684290549379744,3.0881806259928024,0.5452403720738467,2.6981391604157614,3.4782220915698434,0.199,0.04976611966656298,0.6890000000000001,0.076077445920442,1.4250131909417587,0.22899277701283502
vlp_blockage,0.30,blockage_prob,0.3,wifi_only,10,1.357438801077118,0.1500835895433217,1.250075468824436,1.4648021333297998,1.090989209620473,0.06980566889570379,2.6863242175774986,0.40789447770067383,2.3945340860470243,2.978114349107973,0.187,0.042700507413066344,0.461,0.030349812373573423,1.903374192542077,0.26286592832820205
vlp_blockage,0.40,blockage_prob,0.4,graph_diffusion_3,10,0.9709243149088828,0.09504405572119928,0.9029338932772621,1.0389147365405034,0.806155856032116,0.07776650538640234,1.9400008606616646,0.2549618419649171,1.7576121462530598,2.1223895750702693,0.08600000000000001,0.04033195589934446,0.635,0.06536223850375857,1.1526831190915274,0.13211571415832465
vlp_blockage,0.40,blockage_prob,0.4,adaptive_fusion,10,1.0030984331828627,0.14715569412500887,0.8978295911376308,1.1083672752280946,0.5673472361894678,0.09842003421358804,2.505193615717685,0.7733302371354838,1.951986489986885,3.058400741448485,0.143,0.0527151675411251,0.7120000000000001,0.07480344614759105,0.8766144625154701,0.07146590239309827
vlp_blockage,0.40,blockage_prob,0.4,static_fusion,10,1.1776790226763816,0.1475929931666432,1.0720973557417421,1.283260689611021,0.5854293880468633,0.10097409347604695,3.187382833963043,0.55575571355556,2.7898191462384188,3.5849465216876673,0.21500000000000002,0.04576510072581994,0.6679999999999999,0.07208020224413604,1.46064807718981,0.22623013623500618
vlp_blockage,0.40,blockage_prob,0.4,vlp_only,10,1.1790626048101085,0.1452575511607998,1.0751516124428433,1.2829735971773737,0.5861356738237685,0.09904943872890927,3.1897079252580163,0.5533917651723422,2.793835304334685,3.5855805461813475,0.21600000000000003,0.04402019738458448,0.6679999999999999,0.07208020224413604,1.4628079614520093,0.21996714602647607
vlp_blockage,0.40,blockage_prob,0.4,wifi_only,10,1.357438801077118,0.1500835895433217,1.250075468824436,1.4648021333297998,1.090989209620473,0.06980566889570379,2.6863242175774986,0.40789447770067383,2.3945340860470243,2.978114349107973,0.187,0.042700507413066344,0.461,0.030349812373573423,1.903374192542077,0.26286592832820205
wifi_noise,3.0,noisy_sigma_db,3.0,vlp_only,10,0.47053703608896236,0.035703644282840015,0.4449961875829127,0.496077884595012,0.4096473769915595,0.03331711486922785,0.8274763953544128,0.20891251047520998,0.6780293882423025,0.976923402466523,0.004,0.0051639777949432225,0.9359999999999999,0.04427188724235732,0.47781419366022126,0.06405445781671022
wifi_noise,3.0,noisy_sigma_db,3.0,adaptive_fusion,10,0.470734438310943,0.03568891931417414,0.4452041234129187,0.49626475320896735,0.4101599063933105,0.03372399217608239,0.8274763953544128,0.20891251047520998,0.6780293882423025,0.976923402466523,0.004,0.0051639777949432225,0.9359999999999999,0.04427188724235732,0.47781419366022126,0.06405445781671022
wifi_noise,3.0,noisy_sigma_db,3.0,static_fusion,10,0.4707578784175032,0.03641373356580293,0.4447090626390303,0.4968066941959761,0.4092035241621508,0.032659610190755556,0.828296049296946,0.20847833067931673,0.6791596357002609,0.9774324628936311,0.004,0.0051639777949432225,0.9349999999999999,0.044284434185288074,0.47318208614746665,0.05905844202040046
wifi_noise,3.0,noisy_sigma_db,3.0,graph_diffusion_3,10,0.891082191602575,0.1233739107546251,0.8028258125276454,0.9793385706775045,0.7105428423362701,0.0940617545574771,1.7441069727109308,0.2997947826798021,1.52964670454696,1.9585672408749017,0.07400000000000001,0.04376706016578628,0.6809999999999999,0.06384877968032486,1.098332141431002,0.14037056062103787
wifi_noise,3.0,noisy_sigma_db,3.0,wifi_only,10,1.842039288370512,0.30008252092845256,1.6273731846632569,2.056705392077767,1.3419407071765277,0.16897355407804954,4.022892908400088,1.2978261882541957,3.094483981882865,4.951301834917311,0.29300000000000004,0.0730372811955952,0.36299999999999993,0.063779132776934,2.563505122033965,0.5082435286092329
