scenario,method_family,method_label,n_seeds,mean_error_m_mean,mean_error_m_std,mean_error_m_ci95_low,mean_error_m_ci95_high,median_error_m_mean,median_error_m_std,p90_error_m_mean,p90_error_m_std,p90_error_m_ci95_low,p90_error_m_ci95_high,failure_rate_mean,failure_rate_std,trajectory_smoothness_m_per_step_mean,trajectory_smoothness_m_per_step_std,zone_accuracy_mean,zone_accuracy_std
s1_clean,adaptive,adaptive_fusion,10,0.46759822375328686,0.031206568843537258,0.4452743892194135,0.48992205828716023,0.4101127967591525,0.03346524572200048,0.7998015630722495,0.13299465410532013,0.7046629188008289,0.8949402073436701,0.003,0.0067494855771055295,0.4576215625643479,0.0507596358177727,0.9400000000000001,0.03055050463303891
s1_clean,baseline,static_fusion,10,0.46713249945875795,0.03186295799198405,0.444339112414539,0.4899258865029769,0.40951003735806235,0.0338049941073657,0.7992246760724198,0.1332964984616059,0.7038701053562019,0.8945792467886376,0.003,0.0067494855771055295,0.4556013605441458,0.04961968327438995,0.9400000000000001,0.03055050463303891
s1_clean,baseline,vlp_only,10,0.46759822375328686,0.031206568843537258,0.4452743892194135,0.48992205828716023,0.4101127967591525,0.03346524572200048,0.7998015630722495,0.13299465410532013,0.7046629188008289,0.8949402073436701,0.003,0.0067494855771055295,0.4576215625643479,0.0507596358177727,0.9400000000000001,0.03055050463303891
s1_clean,baseline,wifi_only,10,1.4029833400239853,0.13843376227235352,1.303953792162956,1.5020128878850145,1.042445784045859,0.07737094370795385,2.631483266718478,0.3997358549521336,2.3455294623143814,2.917437071122575,0.184,0.03806427312965386,1.9977910914904395,0.26984209808883897,0.481,0.032472210341220144
s1_clean,dsp_static,static_fusion_ema,10,0.6343856671623744,0.051905775666868596,0.5972545120793159,0.671516822245433,0.5997793791792655,0.053608768438324336,1.072332442012082,0.11552233046887854,0.9896927451173445,1.1549721389068197,0.001,0.0031622776601683794,0.3855941526761001,0.05382047212205541,0.861,0.058585170668200875
s1_clean,dsp_static,static_fusion_median,10,0.6902602138670144,0.031174922237529754,0.6679590179512991,0.7125614097827297,0.6582165336304736,0.04443485734997558,1.1486512207673552,0.06738974358702236,1.1004435023007864,1.196858939233924,0.002,0.006324555320336759,0.3801252500878445,0.0515183925449833,0.813,0.03560586718193754
s1_clean,dsp_static,static_fusion_moving_average,10,0.6838685403231068,0.05143814948366009,0.6470719048596192,0.7206651757865945,0.6583584641840454,0.05569803962725431,1.1252445190039948,0.11734699611533242,1.041299534937979,1.2091895030700106,0.002,0.006324555320336759,0.386365801183676,0.059651701885503845,0.821,0.055467708323552245
s1_clean,dsp_static,static_fusion_raw,10,0.46713249945875795,0.03186295799198405,0.444339112414539,0.4899258865029769,0.40951003735806235,0.0338049941073657,0.7992246760724198,0.1332964984616059,0.7038701053562019,0.8945792467886376,0.003,0.0067494855771055295,0.4556013605441458,0.04961968327438995,0.9400000000000001,0.03055050463303891
s1_clean,gsp_expected,graph_diffusion_1,10,0.7019408060562222,0.08202115773003049,0.6432664044383357,0.7606152076741087,0.6051651766964286,0.05939054485027562,1.2586576331085968,0.18618467611829548,1.1254691392614626,1.391846126955731,0.028000000000000004,0.021499353995462798,0.8400488188588712,0.08843444536541463,0.8119999999999999,0.07284687135812125
s1_clean,gsp_expected,graph_diffusion_3,10,0.7160661620650078,0.09035989484605471,0.6514265872640995,0.7807057368659162,0.6116412504534318,0.06744265540540356,1.3019937983301557,0.20688091018551247,1.1540001105154525,1.449987486144859,0.027000000000000003,0.02057506581601462,0.8212298318919213,0.08666473089048644,0.799,0.0772370089759796
