scenario,method_family,method_label,n_seeds,mean_error_m_mean,mean_error_m_std,mean_error_m_ci95_low,mean_error_m_ci95_high,median_error_m_mean,median_error_m_std,p90_error_m_mean,p90_error_m_std,p90_error_m_ci95_low,p90_error_m_ci95_high,failure_rate_mean,failure_rate_std,trajectory_smoothness_m_per_step_mean,trajectory_smoothness_m_per_step_std,zone_accuracy_mean,zone_accuracy_std
s1_clean,baseline,static_fusion,10,0.46713249945875795,0.03186295799198405,0.444339112414539,0.4899258865029769,0.40951003735806235,0.0338049941073657,0.7992246760724198,0.1332964984616059,0.7038701053562019,0.8945792467886376,0.003,0.0067494855771055295,0.4556013605441458,0.04961968327438995,0.9400000000000001,0.03055050463303891
s1_clean,adaptive,adaptive_fusion,10,0.46759822375328686,0.031206568843537258,0.4452743892194135,0.48992205828716023,0.4101127967591525,0.03346524572200048,0.7998015630722495,0.13299465410532013,0.7046629188008289,0.8949402073436701,0.003,0.0067494855771055295,0.4576215625643479,0.0507596358177727,0.9400000000000001,0.03055050463303891
s1_clean,baseline,vlp_only,10,0.46759822375328686,0.031206568843537258,0.4452743892194135,0.48992205828716023,0.4101127967591525,0.03346524572200048,0.7998015630722495,0.13299465410532013,0.7046629188008289,0.8949402073436701,0.003,0.0067494855771055295,0.4576215625643479,0.0507596358177727,0.9400000000000001,0.03055050463303891
s1_clean,dsp_static,static_fusion_median,10,0.6902602138670144,0.031174922237529754,0.6679590179512991,0.7125614097827297,0.6582165336304736,0.04443485734997558,1.1486512207673552,0.06738974358702236,1.1004435023007864,1.196858939233924,0.002,0.006324555320336759,0.3801252500878445,0.0515183925449833,0.813,0.03560586718193754
s1_clean,gsp_expected,graph_diffusion_3,10,0.7160661620650078,0.09035989484605471,0.6514265872640995,0.7807057368659162,0.6116412504534318,0.06744265540540356,1.3019937983301557,0.20688091018551247,1.1540001105154525,1.449987486144859,0.027000000000000003,0.02057506581601462,0.8212298318919213,0.08666473089048644,0.799,0.0772370089759796
s1_clean,baseline,wifi_only,10,1.4029833400239853,0.13843376227235352,1.303953792162956,1.5020128878850145,1.042445784045859,0.07737094370795385,2.631483266718478,0.3997358549521336,2.3455294623143814,2.917437071122575,0.184,0.03806427312965386,1.9977910914904395,0.26984209808883897,0.481,0.032472210341220144
s2_wifi_degraded,baseline,vlp_only,10,0.4705370360889624,0.035703644282839994,0.44499618758291276,0.49607788459501206,0.40964737699155956,0.03331711486922766,0.8274763953544124,0.20891251047521003,0.6780293882423021,0.9769234024665228,0.004,0.0051639777949432225,0.47781419366022126,0.06405445781671022,0.9359999999999999,0.04427188724235732
s2_wifi_degraded,adaptive,adaptive_fusion,10,0.470734438310943,0.03568891931417412,0.44520412341291876,0.4962647532089673,0.4101599063933106,0.033723992176082185,0.8274763953544124,0.20891251047521003,0.6780293882423021,0.9769234024665228,0.004,0.0051639777949432225,0.47781419366022126,0.06405445781671022,0.9359999999999999,0.04427188724235732
s2_wifi_degraded,baseline,static_fusion,10,0.47996002702353885,0.03747101143539031,0.45315488021952666,0.506765173827551,0.4092035241621509,0.032659610190755306,0.828427717182651,0.2084684845051273,0.6792983471146696,0.9775570872506323,0.006,0.006992058987801011,0.4928417083604881,0.08013200503183723,0.933,0.04398231968012197
s2_wifi_degraded,dsp_static,static_fusion_median,10,0.6905047845230461,0.03581759044899444,0.664882423840129,0.7161271452059632,0.6688182274203085,0.05034313428079459,1.1526012224968452,0.0718991117266761,1.101167696390011,1.2040347486036793,0.001,0.0031622776601683794,0.3847507184999731,0.04788924349829053,0.8150000000000001,0.03894440481849306
s2_wifi_degraded,gsp_expected,graph_diffusion_3,10,1.0713854752000462,0.14753082197224504,0.9658482828586721,1.1769226675414204,0.8306748833176595,0.08833751813975575,2.142624443714783,0.43412111707117446,1.8320729045902187,2.4531759828393467,0.12100000000000002,0.06026792034094276,1.3350922089867332,0.15803011249742,0.5930000000000001,0.05313504806936127
s2_wifi_degraded,baseline,wifi_only,10,2.185410353088048,0.34769807652108686,1.936682132855972,2.434138573320124,1.5762188373720498,0.20189853384293557,4.786784230046121,1.0829120795364005,4.012115595390703,5.561452864701539,0.395,0.0552268050859363,2.9935661672663416,0.4962915987943555,0.311,0.05724217559340898
