t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity,filter_name
0,s1_clean,7.708518498956285,6.537185189018777,False,False,False,-62.79442141241782,-60.66782268818498,-56.306748063535466,-56.6054180879004,-51.81276239237883,-52.3986979452754,0.01752258428705,0.0174907023691032,0.0403376388135528,0.0405334018883394,0.0283828313120327,0.0258217710038364,0.1611179949210436,0.1606480249157306,moving_average
1,s1_clean,7.762228944549189,6.781375783910273,False,False,False,-60.35413137115147,-60.88308361484913,-56.0232860790923,-56.97879139879119,-51.78699294974122,-52.0859191748484,0.017520527718367047,0.0166486758865302,0.039331722071304795,0.0371497390786257,0.0269269745969272,0.0258475893758314,0.17121105027595296,0.1804539481703795,moving_average
2,s1_clean,7.839130958677583,7.167874595498286,False,False,False,-61.56128585560634,-61.21327758263732,-57.25879246783123,-57.54928144000964,-51.04588794333773,-51.633217664900165,0.017348378988212232,0.015431532421671,0.036956680919581965,0.0325385185383974,0.026922515877556133,0.0257812471727974,0.18427895350454002,0.2119402231286178,moving_average
3,s1_clean,7.94346543019908,7.5103051184045535,False,False,False,-60.783056322398444,-61.52818791243944,-57.62687085019752,-58.02341894955954,-51.229178830770394,-51.40431374887509,0.016164439216341826,0.0143496226223357,0.035414536048249276,0.0290979699255696,0.026617687292552074,0.02527513092303,0.19735832903089617,0.2356824538642564,moving_average
4,s1_clean,7.999186140694022,7.623886621271602,False,False,False,-60.19962385933444,-61.64634597445115,-57.00767759421694,-58.17231546192099,-50.95313483837843,-51.40678266028284,0.01533755712368346,0.0139629048746856,0.03389974891504824,0.0280677319573537,0.02665448428125744,0.0249179603413805,0.2059748941946173,0.2414606280215374,moving_average
5,s1_clean,8.226562675373907,7.955827377167044,False,False,False,-59.92871465506124,-62.02889796628993,-56.664453687475756,-58.59037627578381,-51.345122563665846,-51.66809295235392,0.014669306799037978,0.0127808655111213,0.030733030450222444,0.0253015883595867,0.02543876029075594,0.0233797625962509,0.22258443498259436,0.2461538461538462,moving_average
6,s1_clean,8.280648608306477,8.135508799595996,False,False,False,-61.06191447153613,-62.1838435969353,-57.15792431086457,-58.82365598915953,-51.631457884182055,-51.67182869554949,0.013842042790628362,0.0123318224330028,0.02794997580760592,0.0239674626137656,0.02500587392034574,0.0230070650039267,0.23496851648907313,0.244073512166406,moving_average
7,s1_clean,8.426531854440203,8.334139776009467,False,False,False,-61.34017659401816,-62.40919182942127,-57.23387271893974,-59.06680078400515,-52.325698200477746,-51.943881066322064,0.013227315544433302,0.0117066356837247,0.026259065940453942,0.0225717043727283,0.02373406105506894,0.0220206301715448,0.23908500344465006,0.2329059378221316,moving_average
8,s1_clean,8.640813839766498,8.694587576233882,False,False,False,-61.89469900868242,-62.77402205256567,-57.929741349567905,-59.50647618201231,-52.44763128831278,-52.37986526323718,0.0125076076397203,0.010762187680812,0.024290190581741162,0.020313582729502,0.02265091377340844,0.0205833907819085,0.23273560529519766,0.2043696571382032,moving_average
9,s1_clean,8.773434572913224,8.991156753090223,False,False,False,-63.503707480154866,-63.03860093668056,-58.49399533463962,-59.8612508744272,-53.507773833884436,-52.68823637048264,0.01208963427237994,0.0101259989532826,0.02250099911685504,0.0187005112761519,0.021177099905104618,0.0196611179731853,0.22059340072101247,0.1791924344235503,moving_average
10,s1_clean,8.969081214365445,9.315966535180728,False,False,False,-64.34073536947403,-63.35019591295001,-59.39425036528421,-60.23814616370892,-53.62736616470214,-53.20135880828804,0.01093649186281672,0.0094258294347573,0.021430199894846617,0.0171049862895879,0.02074479626095222,0.0184162534403099,0.2017620175426019,0.149905117816103,moving_average
11,s1_clean,9.158262661443551,9.76651178862036,False,False,False,-65.08956408147284,-63.72233976886984,-59.45220241563002,-60.743746781846106,-54.20458654440786,-53.77569228424154,0.00977366798566722,0.0086535560330877,0.019863708727322422,0.0152299081603198,0.01949307757385334,0.0171346457615314,0.17651799854647465,0.1181734689050477,moving_average
12,s1_clean,9.226935916965898,9.928675601070118,False,False,False,-64.98457307783809,-63.85359296589016,-59.394198387482845,-60.920400075026166,-54.33957784787972,-53.99776904810691,0.00859620113094894,0.0083968344262238,0.01797107408730454,0.0146264545676911,0.01848339355750032,0.0166810144737014,0.15197826128632702,0.1083991884233143,moving_average
13,s1_clean,9.28457534064934,9.54739973958025,False,False,False,-65.2777402096855,-63.66480641942477,-59.1185341143359,-60.50564086039868,-54.252083988652565,-53.979319414631874,0.008280457045859259,0.008769754254496,0.016802836289415722,0.0159710281372029,0.01783172947547972,0.0168181749199548,0.13562814487232108,0.1243073012949686,moving_average
14,s1_clean,9.55154708556551,9.187880405968292,False,False,False,-64.12381370433059,-63.613217500154576,-60.38483281207241,-60.11140076316041,-53.41842848301693,-54.48763190268335,0.007943956776480441,0.0088737846728095,0.01665738168163736,0.0172197290372914,0.0174980232419081,0.0160161639625595,0.1257120311379477,0.1279040908803053,moving_average
15,s1_clean,9.66616567574389,8.964158259736895,False,False,False,-63.81675123257023,-63.55699060135446,-60.67331285658488,-59.85838526367252,-53.30779664146631,-54.71740525569113,0.0077347020676304,0.0089871809734442,0.01662059217387392,0.0180911622737449,0.016823855960223517,0.0156986617222275,0.12206556683193057,0.1297739082668761,moving_average
16,s1_clean,9.783739284953958,8.603729760291959,False,False,False,-63.11605187854955,-63.43263740872185,-60.634835752739754,-59.433072709784426,-53.346637761874526,-54.98755429893863,0.00793032791980976,0.0092424991848239,0.01759703920053704,0.0196885381226551,0.01639208263498928,0.0153962011729493,0.12547424073295113,0.1325167569466788,moving_average
17,s1_clean,9.816728934060924,8.290196131329282,False,False,False,-63.240079088652976,-63.285667059375896,-60.58325295717975,-59.03984853193501,-53.63472503680824,-55.12317892714138,0.00837429950096474,0.0095540349783107,0.0191731522288004,0.0213369423420789,0.0157994009593186,0.0153408432331307,0.13087655141008633,0.1354147883670632,moving_average
18,s1_clean,9.898369940505676,8.170920930516099,False,False,False,-63.596522033874564,-63.27548814250808,-60.41713250673447,-58.89704487418218,-54.54006623591507,-55.316067729770346,0.008675144433011159,0.0095726287591776,0.02069852876738522,0.0218894665478874,0.015464960185345619,0.0150571883271892,0.13273382934676312,0.1310097033894487,moving_average
19,s1_clean,9.760036529571131,8.31653053319644,False,False,False,-63.55489305671288,-63.26328337542725,-59.61350225915512,-59.065988826346015,-55.57348750166466,-55.0049153257841,0.009365769261521101,0.0096046048393896,0.02168428331167104,0.0212782769267504,0.014930608692369198,0.0155476604663175,0.13462310562943633,0.1389290207773417,moving_average
20,s1_clean,9.637633694040824,8.49751598572513,False,False,False,-63.072522316667616,-63.28346897354652,-58.92652465056467,-59.282611367314566,-55.69826852255769,-54.71427776096153,0.00985555474647214,0.0095646951862264,0.0221525596033738,0.0204500825537623,0.01467347879020546,0.0159792983459034,0.13744354138881085,0.1443133413301855,moving_average
21,s1_clean,9.488164788775736,8.737066335022115,False,False,False,-63.423740603749785,-63.32309609936539,-58.70083247841694,-59.56765896246388,-55.08046568519161,-54.36188117079007,0.01004995161763968,0.0094822074937834,0.021941981636194898,0.0193788319887412,0.0151122722846713,0.0164973274606606,0.14025683260641275,0.1479749359055206,moving_average
22,s1_clean,9.401483371555605,8.971936242221727,False,False,False,-62.88122065415136,-63.40302344923558,-58.57228405484217,-59.84650532993593,-55.887996665460626,-54.15937364583078,0.00988612249594758,0.0093118669043925,0.021011718766674643,0.0183243984583494,0.01591386066640586,0.0167429542190807,0.1425802813555387,0.1447426076287911,moving_average
23,s1_clean,9.373588623793506,9.260353868533857,False,False,False,-62.32607245650744,-63.55078573159116,-58.676622425417975,-60.18373200692537,-55.218526035539256,-54.115333480783335,0.010007551027987801,0.0090023142482988,0.02011785733386192,0.0170649966804488,0.01615863448559044,0.0166782577592517,0.1428259400579302,0.1337750123816551,moving_average
24,s1_clean,9.127375220319832,9.429716922223497,False,False,False,-62.80410564863875,-63.50791218797392,-59.00506209363033,-60.36897641348023,-55.03911575224559,-53.59633211590999,0.00940359218418534,0.0090908949524514,0.018700072365627096,0.0165366695831846,0.01671316528922768,0.0175921398854317,0.1424990946838854,0.1367041783075845,moving_average
25,s1_clean,8.726509377545842,9.486750180536124,False,False,False,-63.147799289146846,-63.316309507994255,-59.41050792299641,-60.43726974030776,-54.368788160659754,-52.64946643286321,0.00924435256467766,0.0094969145627774,0.01760002367900146,0.0165073040143178,0.01791763213163896,0.0194339457120384,0.14283385267297044,0.1484066621104151,moving_average
26,s1_clean,8.556615925716626,9.685615586341887,False,False,False,-62.49812988952668,-63.345901776462426,-60.60941627113308,-60.666046142188,-53.758498564039506,-52.297121283206494,0.00939917686936012,0.0094288120567941,0.016544740707093258,0.0157782192722876,0.01822597092511072,0.0200680256693699,0.1410437911688874,0.1398382117875118,moving_average
27,s1_clean,8.275272196622463,9.90949250147166,False,False,False,-62.51248890345297,-63.33747033715629,-60.759329134208585,-60.92827088765094,-52.10246690925277,-51.69029769256331,0.00941806895669112,0.0094393843201904,0.016474689358665518,0.0150069377644141,0.01898559999937474,0.0212651927353197,0.13781503021841746,0.1295011961759266,moving_average
28,s1_clean,8.516464193829812,9.620395436542294,False,False,False,-62.535114623121295,-63.282993848550255,-60.88888092929017,-60.59660527088667,-51.86606679605008,-52.16076599729004,0.009851535723215978,0.0095661985157125,0.015987879268532422,0.0160417954548651,0.01960003326040434,0.0203707530175162,0.13991965122532668,0.1450869924239764,moving_average
29,s1_clean,8.726745769238578,9.594339738596462,False,False,False,-62.90255819732848,-63.38262921518201,-60.61540881390572,-60.55750226456574,-51.53751197703648,-52.68923844829003,0.01002710001499434,0.0093525155551717,0.01596235022840558,0.0160766132991702,0.019775567375334882,0.0193083636604543,0.14025329231111267,0.1414411429391706,moving_average
30,s1_clean,8.943827322619104,9.579744922705936,False,False,False,-62.653813089852825,-63.49402729537152,-60.548934042849645,-60.53664105194552,-51.67829628404793,-53.21232622841882,0.00943036651556426,0.0091183244957073,0.01611200142521206,0.0160402049383894,0.01914247238178584,0.018277415075211,0.1378341872396242,0.1353838749087803,moving_average
31,s1_clean,9.351601400735191,9.795243901577573,False,False,False,-62.63648425345286,-63.84392000432632,-59.57398674498312,-60.7810819611138,-51.999767444003965,-54.20721776458996,0.00923467222654166,0.0084166674138719,0.01624208084973328,0.0150166713963605,0.01877685888737456,0.0163214825918056,0.13205649504593553,0.1105005707470948,moving_average
32,s1_clean,9.577016681956424,9.919176372465715,False,False,False,-63.243227244069615,-64.035255102462,-59.423777688832885,-60.927097028057815,-52.98578345854683,-54.72169915897962,0.009196437065476881,0.0080564248655305,0.01570107337664012,0.0144507968793318,0.01795387017136262,0.0153622999311217,0.12547731810797896,0.0983262941106463,moving_average
