t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity,filter_name
0,s2_wifi_degraded,3.50146586178358,2.794545781008381,False,False,False,-52.87034437374571,-50.74374564951288,-56.47029742814408,-56.76896745250902,-57.125851131684094,-57.711786684580666,0.1447192248097315,0.1452284594455085,0.0399808234416057,0.0402121393165842,0.0318586603702369,0.0299839705452521,0.0201145664408506,0.0194804323174567,ema
1,s2_wifi_degraded,3.8334314692961406,3.0879105600798664,False,False,False,-51.53450375196189,-52.02289916789879,-56.016642769517915,-56.41310856478282,-57.02443043093617,-57.16077336872055,0.1352458034600854,0.1170272229073934,0.04113688043031162,0.0443580099880076,0.031330065899282666,0.0317560186425204,0.02047414129838284,0.0219833772317105,ema
2,s2_wifi_degraded,4.0456173120900445,3.1263296245930507,False,False,False,-52.85241700328572,-52.53765294243689,-56.80810261297792,-56.09743280267562,-56.30571582669413,-57.04049986747118,0.1250607279654392,0.1057846359433306,0.04321101199691815,0.0478337050933053,0.03147725358644937,0.0313114358594498,0.021287507965026826,0.0230468883522227,ema
3,s2_wifi_degraded,4.42592581634721,3.113695449768073,False,False,False,-51.93324935706633,-53.30604391803786,-56.580899547535225,-55.451263949690514,-56.67349095378721,-56.9817641599096,0.11203241187331152,0.0898841370182285,0.04802666909033397,0.0555113813712708,0.031393842095990616,0.0296198983090842,0.022615372940727192,0.0246002590573178,ema
4,s2_wifi_degraded,4.708255729915193,3.19039433570727,False,False,False,-51.316486732884016,-53.95152239820385,-54.76143691054172,-55.02384576203725,-56.18067127044118,-56.82325850712798,0.10002686127168256,0.0784209916203668,0.0530720217091332,0.0615285449767332,0.03078043546723716,0.0290132963122578,0.02325851736533474,0.0263380472128565,ema
5,s2_wifi_degraded,4.978762662726669,3.137730843885924,False,False,False,-52.191671132450494,-54.40603616402636,-53.26475555703872,-54.48495221791598,-57.16817740208012,-56.89750929437612,0.08980470231375898,0.0705842901771218,0.05904829417617209,0.0693370369382753,0.029104862771108866,0.0273862394904569,0.024155471781791497,0.0271964266632953,ema
6,s2_wifi_degraded,5.202025987228208,3.1529819162085304,False,False,False,-53.603585420410944,-54.82971513987043,-53.33479122834335,-54.08133625261823,-57.59908041925194,-56.87825746557877,0.0810402738891414,0.0641752231174448,0.06495915957484708,0.0759992425521041,0.027719136248739635,0.0264924840748927,0.025570697258737583,0.028310772998649,ema
7,s2_wifi_degraded,5.347337808465035,3.292281793156062,False,False,False,-55.20203137943655,-55.21286026726472,-53.91988547133451,-53.96374256378118,-57.6521936261594,-56.65983399330035,0.07345212663464513,0.0592604439873756,0.06956896153621844,0.0786992033114521,0.027139350372774665,0.0267613797432735,0.027742359072421157,0.0301211828644667,ema
8,s2_wifi_degraded,5.716827179474,3.58088982297864,False,False,False,-54.96275900296811,-56.07143827456781,-54.77429075874181,-53.65707046693049,-57.15727259324551,-56.229281863113336,0.06425204910035175,0.0492270930072664,0.07530295670017714,0.0853818520044394,0.026924235076627775,0.0267785373708241,0.0301681711331252,0.0347930007477266,ema
9,s2_wifi_degraded,5.862414412197704,3.68421178879823,False,False,False,-56.46463837174974,-56.38150748601265,-53.467195850319854,-53.54881025631016,-57.64404038608528,-56.08660248945857,0.0579858806622915,0.045966836568907,0.08032854824087521,0.0876743728609641,0.027182598638943352,0.0266352207872701,0.03231126182686325,0.036771059665785,ema
10,s2_wifi_degraded,6.2621648807209205,3.865009897723677,True,False,False,-59.07762607231691,-57.10586074213443,-52.15476473474719,-53.15612010493874,-60.907081417698805,-55.9121110523273,0.05148107484415462,0.0389950030175768,0.08532753154171338,0.0952532194498698,0.025922177350702187,0.0254684977167461,0.035741200373884514,0.0414624398813814,ema
11,s2_wifi_degraded,6.386402797469953,4.000359969380765,True,False,False,-58.79882022025272,-57.37956715325362,-52.86173202349702,-53.19521050112114,-56.96582416548847,-55.73056174695599,0.04620269417234422,0.0367080654604905,0.08866370892210568,0.0942939351028783,0.02570461319828956,0.0254857261623858,0.03881883245760574,0.044246189448937,ema
12,s2_wifi_degraded,6.486403725025359,4.131792507959473,True,False,False,-60.72368871565294,-57.61174939547829,-53.4589241893467,-53.28287928212613,-57.8194963793717,-55.54792769977925,0.042132416903037956,0.034876797057595,0.08995096784845777,0.0922891239011531,0.02542602316882067,0.0255814355985847,0.041639789345377265,0.0470499606782895,ema
13,s2_wifi_degraded,6.594101310260236,4.146666699824417,True,False,False,-56.19093788741142,-57.763345334242985,-53.98093843391699,-53.15180969926828,-58.237246854112335,-55.58231394998124,0.038893536378434616,0.0336542323064734,0.09132002843219247,0.0944757296723534,0.02571606801159792,0.0250288179487332,0.04362364001092357,0.0480198333865658,ema
14,s2_wifi_degraded,6.938536691705024,4.190811224101229,True,False,False,-56.219309346513015,-58.23260938300422,-52.57687448243955,-52.75222998596355,-62.637881401272764,-55.7248274387736,0.035921642909562033,0.0301306478676632,0.09457622965389545,0.1007418816065362,0.024294274203825884,0.023310532019866,0.04653508920999154,0.0509252520296641,ema
15,s2_wifi_degraded,7.095444556622987,4.3190830854397095,True,False,False,-59.7772845354715,-58.51061817122094,-51.286561716902014,-52.82214077334821,-58.54389087890864,-55.61985308661716,0.0332797157104048,0.0282951854353764,0.09550235775599653,0.0980741482814368,0.024024749219047188,0.0229817937100709,0.049223090457975155,0.0544443764361643,ema
16,s2_wifi_degraded,7.322508343984496,4.588300078241882,True,False,False,-57.93855359746703,-58.95349574070627,-52.54248984765571,-53.15181453514089,-57.20324172682861,-55.349962973914046,0.030513069038229715,0.0256223723129925,0.0929867455554609,0.089619448799258,0.023755298940141868,0.0227434042993789,0.05408712604648702,0.0621168504544279,ema
17,s2_wifi_degraded,7.446193242310456,4.675563891349093,True,False,False,-56.679926543217775,-59.14947394020993,-50.17108330637324,-53.22259946606399,-53.952475846170316,-55.31668878412345,0.027747386698408996,0.0244979974663827,0.09090694190082702,0.0872193625094305,0.02249916683558721,0.0223649122144171,0.057761200704294906,0.0651101971368206,ema
18,s2_wifi_degraded,7.634031718409139,4.77391982605946,True,False,False,-57.89836513998636,-59.41848876805201,-52.320759041739436,-53.27755872418487,-52.22269078492009,-55.33855946479915,0.02609539426449158,0.0230218770929533,0.08907427645186287,0.0845411160059088,0.02199304031960821,0.021668516182666,0.062262297637492386,0.0687685731924454,ema
19,s2_wifi_degraded,7.862727723450558,4.97492979510894,True,False,False,-60.21699083812425,-59.784936740457695,-52.81954806235226,-53.56112841286078,-55.619376776364106,-55.26058323299884,0.023937294638665597,0.0211766672668422,0.0849434808102981,0.0777058077412176,0.021490519841711707,0.0210426081634258,0.06707601767693812,0.0759307587331702,ema
20,s2_wifi_degraded,7.939266457295782,5.129541394281456,True,False,False,-64.35044671941664,-59.95720206576395,-53.564924825125296,-53.8550774617905,-56.5955425995877,-55.10602565835258,0.022501712984974206,0.0203795007912172,0.08104609869407331,0.0724757533906805,0.021001140761158825,0.0210462429773132,0.07199750639925426,0.0816778514482364,ema
21,s2_wifi_degraded,8.011102297567714,5.276303396065385,True,False,False,-59.31223838670842,-60.1182579530155,-54.70983776960932,-54.13238212543527,-58.45241924203228,-54.96499738904679,0.02175502471512714,0.0196589120664799,0.07682989663964608,0.0678689091741768,0.0207521567557121,0.0210296654036192,0.07675684694814923,0.0875760541553925,ema
22,s2_wifi_degraded,8.343062278059984,5.445902988798278,False,False,False,-59.74435171403796,-60.541274800996895,-53.897417528446994,-54.35830229948508,-56.6944562820895,-55.14388602792755,0.020765746697202183,0.0178225523156193,0.07124941433582467,0.0625315036261996,0.020032444783473928,0.0197013858558117,0.08296820747324045,0.0939752180480246,ema
23,s2_wifi_degraded,8.52052164720882,5.6027346910434765,False,False,False,-59.97093135685759,-60.79729959678605,-53.7430691069085,-54.63791361757298,-56.043808399000994,-55.169464401124586,0.019389316354690524,0.0168075984339451,0.06680122772449196,0.0579688636319624,0.019303213272487164,0.0191335986930024,0.08910527337178575,0.0998220796533259,ema
24,s2_wifi_degraded,8.840063415262575,5.876328672083288,False,False,False,-60.24249544261207,-61.23736791106412,-53.36953150964304,-55.143181674483415,-55.3323472489582,-55.28149171709868,0.018061261363426083,0.015194706911962,0.06094488637928322,0.0506800489298367,0.019049800176366656,0.0180843444092255,0.09621515392451814,0.1085106362235678,ema
25,s2_wifi_degraded,9.133542118122302,6.275738550131283,False,False,False,-60.001853329035036,-61.70379265974413,-54.13928810848372,-55.89329173614773,-55.466006188194,-55.28234192852965,0.016478618280561297,0.013666922259505,0.05440683083174449,0.0424324704201148,0.018076272698771833,0.0172829475709227,0.10458010316657027,0.1210947652505283,ema
26,s2_wifi_degraded,9.35618800793218,6.65718067016028,False,False,False,-61.01701812933773,-62.08661306279852,-53.358467348703265,-56.57610169455,-55.088720839556515,-55.2740318609356,0.015128440654149105,0.0125308833327159,0.048901098776060456,0.0363258868885241,0.017342006013058527,0.0166898472621113,0.11340039168796556,0.1308487824881715,ema
27,s2_wifi_degraded,9.561103088027537,7.107641397521033,False,False,False,-62.18524538093207,-62.48112366265798,-54.746896473263625,-57.32936797715895,-53.87058585153502,-55.25828814987434,0.01392166401566634,0.0114602304062987,0.04219632837780234,0.0307455392054604,0.01678274836356987,0.0161377300304095,0.12220423983843018,0.1382485919395555,ema
28,s2_wifi_degraded,9.62294450389752,7.287936096739562,False,False,False,-61.23946120635293,-62.62148045735843,-55.6679892877193,-57.61383778248175,-54.01191238325075,-55.24221525369161,0.012396494967269033,0.0111022846624772,0.03794502249252441,0.0289048944065308,0.016356316181687182,0.015970277929918,0.12873113617435428,0.1400367258765576,ema
29,s2_wifi_degraded,9.567042849149868,7.590650497286169,False,False,False,-62.90332246031815,-62.74313482868431,-55.28550150475881,-58.0516552013333,-54.68278442181794,-54.9465242835597,0.011636231397394892,0.0108089983505265,0.03359892900792564,0.0265174643686805,0.01614596655631417,0.0162792995147844,0.13628684706383098,0.1509846393855066,ema
30,s2_wifi_degraded,9.368809486427658,7.926124173973704,False,False,False,-62.71403737984613,-62.791032762925255,-57.273890965654275,-58.50431252227556,-54.82352325028364,-54.36824610657157,0.010893929560863887,0.0107045406476946,0.030682784337396955,0.0243946544943545,0.016529034594226742,0.0171512433506296,0.14789804109994426,0.1700941474292018,ema
31,s2_wifi_degraded,9.317903367352146,8.04732779879347,False,False,False,-62.369547204590674,-62.82508532569908,-58.55534069193044,-58.66624968694047,-54.861070503442235,-54.20307224211514,0.010382935366555393,0.0106245218009023,0.02781447912965232,0.0236367265120046,0.016825774042623063,0.0173750021796777,0.15710616812570388,0.1742430687530344,ema
32,s2_wifi_degraded,9.186332412855084,8.43241929333643,False,False,False,-62.683922593077995,-62.96000697545607,-59.145791967204325,-59.167866072973865,-53.931596923755166,-53.76735850514864,0.010294583239501436,0.0103072178087461,0.025698225321044252,0.0213751019656429,0.01733160242596983,0.0179114016123124,0.16481632796302648,0.1787511041047387,ema
