cell_id,row,col,x,y,p_wifi,p_vlp,p_static_raw,p_graph_diffusion_1,p_graph_diffusion_3,p_laplacian
0,0,0,0.5,0.5,9.999999999820003e-13,9.999999999019997e-13,9.999999999420002e-13,1.001571798196694e-12,7.919159566693459e-07,3.846822866297831e-06
1,0,1,1.5,0.5,9.999999999820003e-13,9.999999999019997e-13,9.999999999420002e-13,4.73775426958889e-10,5.684640574302548e-05,4.1686603942499784e-05
2,0,2,2.5,0.5,1.1329765989903018e-08,9.999999999019997e-13,5.665382994951458e-09,7.23968272168601e-05,0.001400453743112994,0.0005031852816681092
3,0,3,3.5,0.5,0.001734687159153817,9.999999999019997e-13,0.0008673435800769083,0.006799509125410169,0.013773158295995142,0.006116193180473055
4,0,4,4.5,0.5,0.1462202774329723,9.999999999019997e-13,0.07311013871698614,0.06608772536283977,0.05552931082263058,0.06602138978444318
5,0,5,5.5,0.5,0.17846386039262904,9.999999999019997e-13,0.08923193019681451,0.07771965120356875,0.06206342331614253,0.07824386669156691
6,0,6,6.5,0.5,0.003233454980157886,1.1138415411166462e-08,0.0016167330592866483,0.008747679517336406,0.016707933702351553,0.007888030579949483
7,0,7,7.5,0.5,3.547041374544972e-08,9.999999999019997e-13,1.7735706872724806e-08,0.0001349538828734649,0.0017801686339591553,0.000682149304364343
8,0,8,8.5,0.5,9.999999999820003e-13,9.999999999019997e-13,9.999999999420002e-13,1.4812167595487176e-09,7.864430641317877e-05,6.129101761639748e-05
9,0,9,9.5,0.5,9.999999999820003e-13,9.999999999019997e-13,9.999999999420002e-13,1.001571798196694e-12,1.5073336074538438e-06,6.390103869546008e-06
10,1,0,0.5,1.5,9.999999999820003e-13,9.999999999019997e-13,9.999999999420002e-13,6.014805426583726e-11,1.987778887357178e-06,4.475260453074184e-06
11,1,1,1.5,1.5,9.999999999820003e-13,9.999999999019997e-13,9.999999999420002e-13,3.3176472346997323e-10,1.9678429226388705e-05,3.489373671809025e-05
12,1,2,2.5,1.5,7.962199974244654e-09,9.999999999019997e-13,3.981599987122277e-09,3.471527685857256e-05,0.0006371479455805138,0.0003834722234399144
13,1,3,3.5,1.5,0.0010996493862456811,9.999999999019997e-13,0.0005498246936228405,0.0033550154360358995,0.008327917339706925,0.0043125004792693555
14,1,4,4.5,1.5,0.08743523902897696,9.999999999019997e-13,0.043717619514988475,0.04358032388409468,0.04192171241444601,0.04281662015586017
15,1,5,5.5,1.5,0.10671591222097354,9.999999999019997e-13,0.05335795611098676,0.05179748213548386,0.04802427609839813,0.0509415446578322
16,1,6,6.5,1.5,0.0020497452613404484,9.999999999019997e-13,0.001024872631170224,0.004470463405842599,0.014687923796972067,0.007451050950545553
17,1,7,7.5,1.5,2.4927481084972026e-08,9.999999999019997e-13,1.246424054248596e-08,6.49053394920413e-05,0.0012171492527024137,0.0009184420021018512
18,1,8,8.5,1.5,9.999999999820003e-13,9.999999999019997e-13,9.999999999420002e-13,1.0717619863593726e-09,3.003992064933398e-05,0.00010824381077927835
19,1,9,9.5,1.5,9.999999999820003e-13,9.999999999019997e-13,9.999999999420002e-13,2.33273153133454e-10,4.633171729810641e-06,1.5390218818154605e-05
20,2,0,0.5,2.5,1.4182878886758555e-09,9.999999999019997e-13,7.096439443378786e-10,3.434994862037753e-06,4.2201735901958685e-05,1.9437816305576313e-05
21,2,1,1.5,2.5,2.607610413941237e-09,9.999999999019997e-13,1.3043052069705693e-09,3.8126842879484154e-06,7.399719779901777e-05,5.887821621777516e-05
22,2,2,2.5,2.5,9.389227155866704e-06,9.999999999019997e-13,4.694614077933351e-06,0.00019314061965410384,0.0009498964788538302,0.0005179918145033749
23,2,3,3.5,2.5,0.004826282944251847,9.999999999019997e-13,0.0024131414726259234,0.005086853381477425,0.008687335040733383,0.005560474213769413
24,2,4,4.5,2.5,0.08912311365167037,9.999999999019997e-13,0.04456155682633518,0.041501959867346234,0.03715385022405323,0.040981052110612995
25,2,5,5.5,2.5,0.1063784394939373,9.999999999019997e-13,0.05318921974746864,0.048436582193478385,0.050296814551319714,0.05109052630181062
26,2,6,6.5,2.5,0.008283982116026763,9.999999999019997e-13,0.004141991058513381,0.03849779731513744,0.06513754694764787,0.034317969756051954
27,2,7,7.5,2.5,2.3631529366717353e-05,9.999999999019997e-13,1.1815765183358673e-05,0.0003459160658017112,0.01021050354774097,0.004616619321331316
28,2,8,8.5,2.5,9.285080082634674e-09,9.999999999019997e-13,4.643040041317287e-09,9.497673910794562e-06,0.000501883959677451,0.0005202901023734933
29,2,9,9.5,2.5,5.566769685291719e-09,9.999999999019997e-13,2.78388484264581e-09,9.371083692955803e-06,9.360154046722755e-05,8.543891998718553e-05
30,3,0,0.5,3.5,8.22951159901522e-05,9.999999999019997e-13,4.114755849507609e-05,0.00019100504991020006,0.0004041010293123163,0.00018933103886219931
31,3,1,1.5,3.5,0.0001123924757449857,9.999999999019997e-13,5.6196238372492835e-05,0.00018266157642633148,0.0004350653254404199,0.00025195861646974113
32,3,2,2.5,3.5,0.0012318363197816222,9.999999999019997e-13,0.000615918160390811,0.0010499764825785724,0.0017277898179966337,0.001202114608840812
33,3,3,3.5,3.5,0.014376305895320811,9.999999999019997e-13,0.007188152948160404,0.007593612470983408,0.00848198459557714,0.007903679862126822
34,3,4,4.5,3.5,0.05786121976587446,9.999999999019997e-13,0.028930609883437222,0.027306855596604892,0.0289804470343931,0.028651540613789758
35,3,5,5.5,3.5,0.06687393048779434,9.999999999019997e-13,0.03343696524439717,0.06252113527140153,0.08154250910695701,0.05713460422616519
36,3,6,6.5,3.5,0.02213661780676065,0.9999999887635843,0.5110683032851727,0.38660421242723225,0.24059131226253644,0.37587346942590605
37,3,7,7.5,3.5,0.002484347985088568,9.999999999019997e-13,0.0012421739930442838,0.03316219108211555,0.056784044164665495,0.028757810986277537
38,3,8,8.5,3.5,0.00027970007107762845,9.999999999019997e-13,0.0001398500360388142,0.0003869051335150046,0.005250210283453764,0.0024737129507307123
39,3,9,9.5,3.5,0.00022449365753435488,9.999999999019997e-13,0.00011224682926717741,0.00043155971806265706,0.0010208793731863682,0.0005749977997933372
40,4,0,0.5,4.5,0.0037238772419938707,9.999999999019997e-13,0.001861938621496935,0.0018036043167874208,0.0016500439138236842,0.0017784314874825127
41,4,1,1.5,4.5,0.0031731536670757234,9.999999999019997e-13,0.0015865768340378613,0.0015288229992959127,0.0014368993042054535,0.0015151343829306612
42,4,2,2.5,4.5,0.004266395632711107,9.999999999019997e-13,0.002133197816855553,0.0019582797658502533,0.0018241098504196886,0.001996792626763318
43,4,3,3.5,4.5,0.00617924862783843,9.999999999019997e-13,0.003089624314419214,0.0031526746978729286,0.00351664119964984,0.0033558591517714727
44,4,4,4.5,4.5,0.007740079551982934,9.999999999019997e-13,0.003870039776491466,0.0051851704018848034,0.00730851121855788,0.005796133559779372
45,4,5,5.5,4.5,0.008673172553765686,9.999999999019997e-13,0.004336586277382842,0.005865693031025708,0.01661182106506366,0.00989927038083451
46,4,6,6.5,4.5,0.008638532539538056,9.999999999019997e-13,0.004319266270269027,0.035743459192990386,0.05888635365977319,0.03133515414246174
47,4,7,7.5,4.5,0.007272641520754207,9.999999999019997e-13,0.003636320760877103,0.003313840394701487,0.011845891009225057,0.007223812179474538
48,4,8,8.5,4.5,0.006296282638312385,9.999999999019997e-13,0.003148141319656192,0.002994654861780253,0.003119228192760756,0.003380382061397467
49,4,9,9.5,4.5,0.008041030419363777,9.999999999019997e-13,0.004020515210181888,0.003786004902189737,0.0033381845306517323,0.003793351233923713
50,5,0,0.5,5.5,0.0064482287552094985,9.999999999019997e-13,0.0032241143781047486,0.002770526014155485,0.0021647089848281726,0.00279575770051046
51,5,1,1.5,5.5,0.0026650512420219627,9.999999999019997e-13,0.0013325256215109811,0.0013359200141218354,0.0012962544007427237,0.0013189302899350656
52,5,2,2.5,5.5,0.0007856241985448731,9.999999999019997e-13,0.00039281209977243644,0.0005184942547547107,0.0006959867998433609,0.000550010462587965
53,5,3,3.5,5.5,0.00019350276460884476,9.999999999019997e-13,9.675138280442235e-05,0.00029288457536181216,0.0006338356406169472,0.0003891789319389612
54,5,4,4.5,5.5,7.046522919346267e-05,9.999999999019997e-13,3.5232615096731325e-05,0.0002771902972728996,0.0008860460227839894,0.0005388019256008104
55,5,5,5.5,5.5,7.699680879689963e-05,9.999999999019997e-13,3.849840489844981e-05,0.0003104404277814586,0.0013651696340030261,0.0009580306294484104
56,5,6,6.5,5.5,0.0002508962478748856,9.999999999019997e-13,0.00012544812443744278,0.0004041397674402077,0.0052968363458268854,0.0025029433055591037
57,5,7,7.5,5.5,0.001185614748132165,9.999999999019997e-13,0.0005928073745660824,0.0008231401016201218,0.0015075868535779963,0.001296815713735736
58,5,8,8.5,5.5,0.004529804489102521,9.999999999019997e-13,0.00226490224505126,0.0023198765477430187,0.002304375351207074,0.0023530592988736413
59,5,9,9.5,5.5,0.011831471646179093,9.999999999019997e-13,0.005915735823589545,0.0051020276852804915,0.004007178956282708,0.005153034077998577
60,6,0,0.5,6.5,0.001965288075324935,9.999999999019997e-13,0.0009826440381624673,0.00103028990600391,0.0010319916191847247,0.001006344548170926
61,6,1,1.5,6.5,0.00029473086626056116,9.999999999019997e-13,0.00014736543363028055,0.00025641535120514663,0.0004140384726336843,0.00027886529795201933
62,6,2,2.5,6.5,1.3338054138485206e-05,9.999999999019997e-13,6.669027569242601e-06,3.883227986445396e-05,0.00012065519100772353,6.712362986979951e-05
63,6,3,3.5,6.5,2.2690878861834986e-07,9.999999999019997e-13,1.1345489430917485e-07,6.559395577259197e-06,5.477892535385528e-05,3.6319679140985225e-05
64,6,4,4.5,6.5,7.509927449976763e-09,9.999999999019997e-13,3.7554637249883315e-09,2.2156747635812605e-06,5.339034884902462e-05,4.7557686277288096e-05
65,6,5,5.5,6.5,8.050218993607422e-09,9.999999999019997e-13,4.025609496803661e-09,2.421896777757924e-06,6.014392282933627e-05,8.642915129882454e-05
66,6,6,6.5,6.5,2.781342492038441e-07,9.999999999019997e-13,1.39067624601922e-07,8.534298778636235e-06,0.00019907504950615403,0.00019672454780713216
67,6,7,7.5,6.5,1.8427049795634848e-05,9.999999999019997e-13,9.213525397817422e-06,5.807865647710747e-05,0.0001919473207667186,0.00014753146273219334
68,6,8,8.5,6.5,0.00044852563716417284,9.999999999019997e-13,0.00022426281908208637,0.000411575590486381,0.0006956561613980492,0.0004635758805866027
69,6,9,9.5,6.5,0.00320242216143709,9.999999999019997e-13,0.0016012110812185446,0.0017312916385756247,0.0017908332215731283,0.001685674245288676
70,7,0,0.5,7.5,0.00025760063841315955,9.999999999019997e-13,0.00012880031970657975,0.00018049721615906756,0.00026227515838854796,0.000181415746134885
71,7,1,1.5,7.5,1.1966633746375555e-05,9.999999999019997e-13,5.9833173731877755e-06,2.1801232692352125e-05,6.909033225766797e-05,3.8061367049673255e-05
72,7,2,2.5,7.5,4.421333627871748e-08,9.999999999019997e-13,2.210716813935869e-08,8.086279053843991e-07,1.0977499251674288e-05,7.845102803797654e-06
73,7,3,3.5,7.5,4.613796143019278e-12,9.999999999019997e-13,2.8068980714606385e-12,8.488179844800756e-09,2.251145228966482e-06,3.48071094465258e-06
