cell_id,row,col,x,y,p_wifi,p_vlp,p_static
81,8,1,1.5,8.5,4.210613017746444e-11,9.999999999019999e-13,2.1553065088683217e-11
82,8,2,2.5,8.5,2.5073692603977403e-12,9.999999999019999e-13,1.7536846301498699e-12
83,8,3,3.5,8.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
84,8,4,4.5,8.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
85,8,5,5.5,8.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
86,8,6,6.5,8.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
87,8,7,7.5,8.5,1.2889546741625845e-09,9.999999999019999e-13,6.449773370812432e-10
88,8,8,8.5,8.5,1.6138042042591034e-07,9.999999999019999e-13,8.06907102129551e-08
89,8,9,9.5,8.5,7.609175624250605e-07,9.999999999019999e-13,3.804592812125301e-07
90,9,0,0.5,9.5,6.3500408650190065e-12,9.999999999019999e-13,3.675020432460503e-12
91,9,1,1.5,9.5,5.662767284735643e-12,9.999999999019999e-13,3.3313836423188206e-12
92,9,2,2.5,9.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
93,9,3,3.5,9.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
94,9,4,4.5,9.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
95,9,5,5.5,9.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
96,9,6,6.5,9.5,9.999999999786894e-13,9.999999999019999e-13,9.999999999403446e-13
97,9,7,7.5,9.5,4.7193802798244786e-11,9.999999999019999e-13,2.4096901399073387e-11
98,9,8,8.5,9.5,5.383159305709126e-09,9.999999999019999e-13,2.6920796528545134e-09
99,9,9,9.5,9.5,2.4625386132804017e-08,9.999999999019999e-13,1.2313193066401956e-08
