seed,scenario,method,mean_runtime_s_per_step,mean_runtime_ms_per_step
104,s1_clean,wifi_only,0.0007077395898522809,0.7077395898522809
104,s1_clean,vlp_only,0.0007102834000397707,0.7102834000397706
104,s1_clean,static_fusion,7.218494985863799e-05,0.07218494985863799
104,s2_wifi_degraded,wifi_only,0.0006932847398638842,0.6932847398638842
104,s2_wifi_degraded,vlp_only,0.0007040225101809483,0.7040225101809483
104,s2_wifi_degraded,static_fusion,7.173765989136882e-05,0.07173765989136882
104,s3_vlp_blocked,wifi_only,0.0006943059499099035,0.6943059499099036
104,s3_vlp_blocked,vlp_only,0.0007060522499523358,0.7060522499523358
104,s3_vlp_blocked,static_fusion,7.052702028886415e-05,0.07052702028886415
104,s4_mixed_dynamic,wifi_only,0.0006950683998002205,0.6950683998002205
104,s4_mixed_dynamic,vlp_only,0.0007064421199538629,0.7064421199538629
104,s4_mixed_dynamic,static_fusion,7.1797329801484e-05,0.07179732980148401
