seed,scenario,gsp_method,mean_runtime_s_per_step,mean_runtime_ms_per_step
104,s1_clean,static_raw,0.0018832653996287262,1.8832653996287263
104,s1_clean,graph_diffusion_1,9.55187700674287e-05,0.0955187700674287
104,s1_clean,graph_diffusion_3,8.994956999231363e-05,0.08994956999231363
104,s1_clean,laplacian,8.922141008952167e-05,0.08922141008952167
104,s2_wifi_degraded,static_raw,0.001865690380182059,1.865690380182059
104,s2_wifi_degraded,graph_diffusion_1,9.478374991886085e-05,0.09478374991886085
104,s2_wifi_degraded,graph_diffusion_3,8.893965990864671e-05,0.08893965990864672
104,s2_wifi_degraded,laplacian,8.93884801553213e-05,0.0893884801553213
104,s3_vlp_blocked,static_raw,0.0019068843202694552,1.9068843202694552
104,s3_vlp_blocked,graph_diffusion_1,9.634647998609581e-05,0.0963464799860958
104,s3_vlp_blocked,graph_diffusion_3,9.223195989761734e-05,0.09223195989761734
104,s3_vlp_blocked,laplacian,9.003866012790241e-05,0.0900386601279024
104,s4_mixed_dynamic,static_raw,0.0018904941700020573,1.8904941700020572
104,s4_mixed_dynamic,graph_diffusion_1,9.532719985145378e-05,0.09532719985145377
104,s4_mixed_dynamic,graph_diffusion_3,8.960800001659663e-05,0.08960800001659663
104,s4_mixed_dynamic,laplacian,8.83111899747746e-05,0.0883111899747746
