seed,scenario,gsp_method,mean_runtime_s_per_step,mean_runtime_ms_per_step
105,s1_clean,static_raw,0.001892229430268344,1.892229430268344
105,s1_clean,graph_diffusion_1,9.649962004914413e-05,0.09649962004914414
105,s1_clean,graph_diffusion_3,9.10162400396075e-05,0.09101624003960751
105,s1_clean,laplacian,8.969467995484593e-05,0.08969467995484592
105,s2_wifi_degraded,static_raw,0.001863809890128323,1.8638098901283229
105,s2_wifi_degraded,graph_diffusion_1,9.483696012466681e-05,0.0948369601246668
105,s2_wifi_degraded,graph_diffusion_3,9.025648007082054e-05,0.09025648007082054
105,s2_wifi_degraded,laplacian,8.886566978617338e-05,0.08886566978617338
105,s3_vlp_blocked,static_raw,0.0018813627997224102,1.8813627997224103
105,s3_vlp_blocked,graph_diffusion_1,9.621559034712845e-05,0.09621559034712845
105,s3_vlp_blocked,graph_diffusion_3,8.961234976595734e-05,0.08961234976595733
105,s3_vlp_blocked,laplacian,8.950421008194098e-05,0.08950421008194098
105,s4_mixed_dynamic,static_raw,0.00184918817030848,1.84918817030848
105,s4_mixed_dynamic,graph_diffusion_1,9.357705006550532e-05,0.09357705006550532
105,s4_mixed_dynamic,graph_diffusion_3,8.799735005595721e-05,0.08799735005595721
105,s4_mixed_dynamic,laplacian,8.755685998039553e-05,0.08755685998039553
