seed,scenario,method,mean_runtime_s_per_step,mean_runtime_ms_per_step
105,s1_clean,wifi_only,0.0007108700299068005,0.7108700299068005
105,s1_clean,vlp_only,0.000711547810024058,0.711547810024058
105,s1_clean,static_fusion,7.118540001101792e-05,0.07118540001101792
105,s2_wifi_degraded,wifi_only,0.0007003482198706479,0.7003482198706479
105,s2_wifi_degraded,vlp_only,0.0007083933999456349,0.7083933999456349
105,s2_wifi_degraded,static_fusion,7.106271979864687e-05,0.07106271979864687
105,s3_vlp_blocked,wifi_only,0.0007043133000479429,0.7043133000479429
105,s3_vlp_blocked,vlp_only,0.0007140184697709629,0.7140184697709628
105,s3_vlp_blocked,static_fusion,7.059178016788792e-05,0.07059178016788792
105,s4_mixed_dynamic,wifi_only,0.000701098250283394,0.701098250283394
105,s4_mixed_dynamic,vlp_only,0.0007077554900388349,0.707755490038835
105,s4_mixed_dynamic,static_fusion,7.067897025990533e-05,0.07067897025990533
