seed,scenario,method,mean_runtime_s_per_step,mean_runtime_ms_per_step
103,s1_clean,wifi_only,0.0006897119701170596,0.6897119701170595
103,s1_clean,vlp_only,0.0006940329700591974,0.6940329700591974
103,s1_clean,static_fusion,6.963882991840364e-05,0.06963882991840364
103,s2_wifi_degraded,wifi_only,0.0006843266500436584,0.6843266500436584
103,s2_wifi_degraded,vlp_only,0.000690318209817633,0.690318209817633
103,s2_wifi_degraded,static_fusion,6.943110005522613e-05,0.06943110005522612
103,s3_vlp_blocked,wifi_only,0.0006887972597905901,0.68879725979059
103,s3_vlp_blocked,vlp_only,0.0006917817598514376,0.6917817598514375
103,s3_vlp_blocked,static_fusion,7.128836019546724e-05,0.07128836019546725
103,s4_mixed_dynamic,wifi_only,0.0006832691199088004,0.6832691199088003
103,s4_mixed_dynamic,vlp_only,0.0006921697901998414,0.6921697901998414
103,s4_mixed_dynamic,static_fusion,7.047089988191147e-05,0.07047089988191146
