seed,scenario,method,mean_runtime_s_per_step,mean_runtime_ms_per_step
101,s1_clean,wifi_only,0.0006912162000298849,0.6912162000298849
101,s1_clean,vlp_only,0.0006934681498023565,0.6934681498023565
101,s1_clean,static_fusion,6.983602015679935e-05,0.06983602015679935
101,s2_wifi_degraded,wifi_only,0.0006738590600434691,0.6738590600434691
101,s2_wifi_degraded,vlp_only,0.000680483740143245,0.6804837401432451
101,s2_wifi_degraded,static_fusion,6.899649011756992e-05,0.06899649011756992
101,s3_vlp_blocked,wifi_only,0.0006567189299676101,0.6567189299676102
101,s3_vlp_blocked,vlp_only,0.0006693126900790958,0.6693126900790958
101,s3_vlp_blocked,static_fusion,6.722020985762356e-05,0.06722020985762356
101,s4_mixed_dynamic,wifi_only,0.0006699243600814952,0.6699243600814953
101,s4_mixed_dynamic,vlp_only,0.0006835517800573143,0.6835517800573143
101,s4_mixed_dynamic,static_fusion,6.822099010605597e-05,0.06822099010605598
