scenario,signal_variant,method,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step,wifi_event_recovery_steps,vlp_event_recovery_steps
s1_clean,raw,wifi_only,1.3033457963363324,0.9616865066686207,2.2559769592337013,0.51,0.15,1.765261012235393,0.0,0.0
s1_clean,raw,vlp_only,0.4408782375804591,0.4153217833274535,0.7136825181624598,0.97,0.0,0.423227221581936,0.0,0.0
s1_clean,raw,static_fusion,0.4408782375804591,0.4153217833274535,0.7136825181624598,0.97,0.0,0.423227221581936,0.0,0.0
s1_clean,moving_average,wifi_only,0.7377790840519007,0.7259666233610477,1.1383437383519273,0.74,0.01,0.5064862184215247,0.0,0.0
s1_clean,moving_average,vlp_only,0.629761387878848,0.572349524589414,1.0232512738910664,0.85,0.0,0.32813415529533907,0.0,0.0
s1_clean,moving_average,static_fusion,0.6359384475347201,0.5769238045502006,1.0232512738910664,0.85,0.0,0.32813415529533907,0.0,0.0
s1_clean,median,wifi_only,0.6997616042094146,0.650837680661504,1.188686468396789,0.81,0.01,0.4928526986222609,0.0,0.0
s1_clean,median,vlp_only,0.6588730181365551,0.5769238045502006,1.0537157317813672,0.82,0.0,0.32813415529533907,0.0,0.0
s1_clean,median,static_fusion,0.6588730181365551,0.5769238045502006,1.0537157317813672,0.82,0.0,0.32813415529533907,0.0,0.0
s1_clean,ema,wifi_only,0.7278595324899609,0.6627676623299421,1.1915831842519136,0.76,0.01,0.5938627996323619,0.0,0.0
s1_clean,ema,vlp_only,0.5728944335520731,0.5378833551204807,0.9989711543243343,0.9,0.0,0.322217120571835,0.0,0.0
s1_clean,ema,static_fusion,0.5728944335520731,0.5378833551204807,0.9989711543243343,0.9,0.0,0.322217120571835,0.0,0.0
s2_wifi_degraded,raw,wifi_only,1.984341625877691,1.3817601578211804,4.078915094222718,0.34,0.29,2.870542301467099,3.75,0.0
s2_wifi_degraded,raw,vlp_only,0.4677483400811955,0.4153217833274535,0.9081688342424129,0.94,0.0,0.4232272215819361,0.0,0.0
s2_wifi_degraded,raw,static_fusion,0.4677483400811955,0.4153217833274535,0.9081688342424129,0.94,0.0,0.4232272215819361,0.0,0.0
