seed,scenario,gsp_method,mean_runtime_s_per_step,mean_runtime_ms_per_step
101,s1_clean,static_raw,0.0017742790501142735,1.7742790501142736
101,s1_clean,graph_diffusion_1,9.04184000683017e-05,0.09041840006830171
101,s1_clean,graph_diffusion_3,8.566562992200488e-05,0.08566562992200488
101,s1_clean,laplacian,8.50067696228507e-05,0.0850067696228507
101,s2_wifi_degraded,static_raw,0.001748352520080516,1.7483525200805161
101,s2_wifi_degraded,graph_diffusion_1,9.01636604248779e-05,0.09016366042487789
101,s2_wifi_degraded,graph_diffusion_3,8.527727994078304e-05,0.08527727994078305
101,s2_wifi_degraded,laplacian,8.372834006877384e-05,0.08372834006877383
101,s3_vlp_blocked,static_raw,0.00170204170019133,1.7020417001913302
101,s3_vlp_blocked,graph_diffusion_1,8.899181975721148e-05,0.08899181975721149
101,s3_vlp_blocked,graph_diffusion_3,8.241140993050067e-05,0.08241140993050067
101,s3_vlp_blocked,laplacian,8.131310016324278e-05,0.08131310016324278
101,s4_mixed_dynamic,static_raw,0.0017258504099663696,1.7258504099663696
101,s4_mixed_dynamic,graph_diffusion_1,8.980061000329442e-05,0.08980061000329442
101,s4_mixed_dynamic,graph_diffusion_3,8.33749499724945e-05,0.0833749499724945
101,s4_mixed_dynamic,laplacian,8.246238001447637e-05,0.08246238001447637
