seed,scenario,method_family,method_label,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step
102,s4_mixed_dynamic,baseline,wifi_only,2.3029890981401717,1.812724886305951,4.599304521983863,0.29,0.47,3.4480881409538906
102,s4_mixed_dynamic,baseline,vlp_only,0.6341576803514319,0.4632878560887047,0.8577546135421579,0.9,0.07,0.7736515197452964
102,s4_mixed_dynamic,baseline,static_fusion,0.6341576803514319,0.4632878560887047,0.8577546135421579,0.9,0.07,0.7736515197452964
103,s1_clean,baseline,wifi_only,1.3033457963363324,0.9616865066686208,2.2559769592337013,0.51,0.15,1.765261012235393
103,s1_clean,baseline,vlp_only,0.4408782375804591,0.4153217833274535,0.7136825181624598,0.97,0.0,0.423227221581936
103,s1_clean,baseline,static_fusion,0.4408782375804591,0.4153217833274535,0.7136825181624598,0.97,0.0,0.423227221581936
103,s2_wifi_degraded,baseline,wifi_only,1.984341625877691,1.3817601578211804,4.078915094222718,0.34,0.29,2.870542301467099
103,s2_wifi_degraded,baseline,vlp_only,0.4677483400811955,0.4153217833274535,0.9081688342424128,0.94,0.0,0.4232272215819361
103,s2_wifi_degraded,baseline,static_fusion,0.4677483400811955,0.4153217833274535,0.9081688342424128,0.94,0.0,0.4232272215819361
103,s3_vlp_blocked,baseline,wifi_only,1.232109238548603,1.009438676432861,2.2470011083321784,0.49,0.15,1.826201171598548
103,s3_vlp_blocked,baseline,vlp_only,0.9060097777344166,0.4878810318173871,2.1411100459436856,0.78,0.13,1.1313308711911108
103,s3_vlp_blocked,baseline,static_fusion,0.9060097777344166,0.4878810318173871,2.1411100459436856,0.78,0.13,1.1313308711911108
103,s4_mixed_dynamic,baseline,wifi_only,1.7441667478400993,1.2109163850402986,3.315037299527672,0.4,0.3,2.514723496707824
103,s4_mixed_dynamic,baseline,vlp_only,0.8361576903281486,0.5026539894127589,2.3231459919231385,0.82,0.13,0.9809871749276252
103,s4_mixed_dynamic,baseline,static_fusion,0.8361576903281486,0.5026539894127589,2.3231459919231385,0.82,0.13,0.9809871749276252
104,s1_clean,baseline,wifi_only,1.5344731227918489,1.087890869085134,3.2226339077648327,0.47,0.24,2.203694132375135
104,s1_clean,baseline,vlp_only,0.4505891768643956,0.3993712828136564,0.7396984181726743,0.95,0.0,0.4922012329430086
104,s1_clean,baseline,static_fusion,0.4439290434246052,0.392968903720244,0.733929548174379,0.95,0.0,0.4719992127409884
104,s2_wifi_degraded,baseline,wifi_only,2.706220778070177,1.7765072470287309,6.794706937234629,0.31,0.43,3.8504114494554
104,s2_wifi_degraded,baseline,vlp_only,0.4334722863974383,0.392968903720244,0.6841837291248524,0.95,0.0,0.4719992127409885
104,s2_wifi_degraded,baseline,static_fusion,0.5104740090767603,0.392968903720244,0.6841837291248524,0.94,0.01,0.629990844819416
104,s3_vlp_blocked,baseline,wifi_only,1.4854834072793108,1.0147789176047444,2.939789222728657,0.49,0.21,2.214346400235757
104,s3_vlp_blocked,baseline,vlp_only,0.9705085040336422,0.5053313303777734,2.878812927960542,0.75,0.12,1.2286483233355017
104,s3_vlp_blocked,baseline,static_fusion,0.9705243034658246,0.5053313303777734,2.878812927960542,0.75,0.12,1.2345653580590057
104,s4_mixed_dynamic,baseline,wifi_only,1.7643165702026806,1.086988900756318,4.646363157784259,0.46,0.21,2.243147704841105
104,s4_mixed_dynamic,baseline,vlp_only,0.8553146014498416,0.4473096722162952,2.015821835786465,0.82,0.1,1.0906494266716975
104,s4_mixed_dynamic,baseline,static_fusion,0.8553146014498416,0.4473096722162952,2.015821835786465,0.82,0.1,1.0906494266716975
105,s1_clean,baseline,wifi_only,1.5318270386290878,0.9676761022079924,3.2166959727700184,0.52,0.24,2.345839116394846
105,s1_clean,baseline,vlp_only,0.4437896341909656,0.3535679952703964,0.7545867816943592,0.93,0.02,0.452382267211963
105,s1_clean,baseline,static_fusion,0.4437896341909656,0.3535679952703964,0.7545867816943592,0.93,0.02,0.452382267211963
105,s2_wifi_degraded,baseline,wifi_only,2.2171138277895293,1.4569958475764246,5.4517161902882885,0.31,0.4,2.830530161731492
105,s2_wifi_degraded,baseline,vlp_only,0.4373248074117314,0.3535679952703964,0.7553605502779075,0.94,0.01,0.4297957219846924
105,s2_wifi_degraded,baseline,static_fusion,0.4373248074117314,0.3535679952703964,0.7553605502779075,0.94,0.01,0.4297957219846924
