scenario,method,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step,wifi_event_recovery_steps,vlp_event_recovery_steps
s1_clean,wifi_only,1.1311407083227163,1.0004566227023517,2.193678333715293,0.5,0.12,1.5746512894082503,0.0,0.0
s1_clean,vlp_only,0.4690428504901468,0.42021202539235825,0.7889094314575232,0.93,0.0,0.43577914771445403,0.0,0.0
s1_clean,static_fusion,0.4690428504901468,0.42021202539235825,0.7889094314575232,0.93,0.0,0.43577914771445403,0.0,0.0
s2_wifi_degraded,wifi_only,1.9292904681760066,1.5485600049459387,4.276704392001074,0.36,0.38,2.8083561776850687,0.25,0.0
s2_wifi_degraded,vlp_only,0.4724528817265758,0.4312906007852566,0.7242944988915151,0.94,0.01,0.5224103721845699,0.0,0.0
s2_wifi_degraded,static_fusion,0.4747966065737545,0.4312906007852566,0.7324910383168483,0.93,0.01,0.5366953576630861,0.0,0.0
s3_vlp_blocked,wifi_only,1.1911889807599452,0.9980954368542334,2.386653611413091,0.5,0.14,1.654648921504455,0.0,0.6666666666666666
s3_vlp_blocked,vlp_only,1.1517575853600275,0.5853322379312011,2.8761749647411783,0.65,0.22,1.434473844064955,0.0,2.6666666666666665
s3_vlp_blocked,static_fusion,1.1517575853600275,0.5853322379312011,2.8761749647411783,0.65,0.22,1.434473844064955,0.0,2.6666666666666665
s4_mixed_dynamic,wifi_only,1.8853963306247414,1.5786553619184334,3.505148215478899,0.27,0.35,2.613727830747695,2.0,0.5
s4_mixed_dynamic,vlp_only,0.6687505634050117,0.46213604521911056,1.147504710556281,0.85,0.06,0.7355440978915595,0.0,0.0
s4_mixed_dynamic,static_fusion,0.6687505634050117,0.46213604521911056,1.147504710556281,0.85,0.06,0.7355440978915595,0.0,0.0
