scenario,gsp_method,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step,wifi_event_recovery_steps,vlp_event_recovery_steps
s1_clean,static_raw,0.6949799811634675,0.6097789998337473,1.2676565302823704,0.81,0.02,0.945973564170244,0.0,0.0
s1_clean,graph_diffusion_1,0.6978086485584062,0.6448041302526912,1.243951282451647,0.81,0.02,0.9374665218508487,0.0,0.0
s1_clean,graph_diffusion_3,0.7090764691618391,0.6434441545443189,1.2450025450153164,0.8,0.02,0.9232026346349883,0.0,0.0
s1_clean,laplacian,0.7013390690958206,0.6394196908321049,1.2645585288348522,0.81,0.02,0.9349166223622096,0.0,0.0
s2_wifi_degraded,static_raw,1.1413928379249747,0.9050225609497624,2.6721366879524346,0.55,0.14,1.5252103817418334,0.5,0.0
s2_wifi_degraded,graph_diffusion_1,1.1357800834241596,0.9094085379236798,2.6222685562131587,0.54,0.14,1.503086474661132,0.5,0.0
s2_wifi_degraded,graph_diffusion_3,1.1316837822707595,0.916781813317555,2.5317645929093984,0.55,0.12,1.4648415291399663,0.5,0.0
s2_wifi_degraded,laplacian,1.1422997143824911,0.9037525521799143,2.6539100136326326,0.55,0.14,1.5037489705399958,0.5,0.0
s3_vlp_blocked,static_raw,0.9724163329829196,0.7911951252808658,1.951626185296749,0.67,0.08,1.2046198992816315,0.0,0.3333333333333333
s3_vlp_blocked,graph_diffusion_1,0.9725356596440109,0.8096478486633873,1.9079243489090456,0.65,0.09,1.1910901891715369,0.0,0.3333333333333333
s3_vlp_blocked,graph_diffusion_3,0.9764748524860497,0.847700218333991,1.8273357493046658,0.62,0.08,1.1662969581642495,0.0,0.3333333333333333
s3_vlp_blocked,laplacian,0.9759305465519041,0.8331819017012697,1.900876772084942,0.63,0.09,1.187869557350793,0.0,0.3333333333333333
s4_mixed_dynamic,static_raw,1.1202374319218837,0.9262402296765926,2.1095112511535516,0.53,0.12,1.5191277926647995,0.0,0.0
s4_mixed_dynamic,graph_diffusion_1,1.1160870365725215,0.9242289626069788,2.098918910722239,0.53,0.12,1.4977393041422116,0.0,0.0
s4_mixed_dynamic,graph_diffusion_3,1.1147025759142775,0.9206233292610589,2.0975035370913533,0.53,0.11,1.462669575142073,0.0,0.0
s4_mixed_dynamic,laplacian,1.120912007383876,0.919026746029709,2.140614290179943,0.53,0.12,1.498447234429754,0.0,0.0
