scenario,method,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step,wifi_event_recovery_steps,vlp_event_recovery_steps
s1_clean,wifi_only,1.3033457963363324,0.9616865066686207,2.2559769592337013,0.51,0.15,1.765261012235393,0.0,0.0
s1_clean,vlp_only,0.4408782375804591,0.4153217833274535,0.7136825181624598,0.97,0.0,0.423227221581936,0.0,0.0
s1_clean,static_fusion,0.4408782375804591,0.4153217833274535,0.7136825181624598,0.97,0.0,0.423227221581936,0.0,0.0
s2_wifi_degraded,wifi_only,1.984341625877691,1.3817601578211804,4.078915094222718,0.34,0.29,2.870542301467099,3.75,0.0
s2_wifi_degraded,vlp_only,0.4677483400811955,0.4153217833274535,0.9081688342424129,0.94,0.0,0.4232272215819361,0.0,0.0
s2_wifi_degraded,static_fusion,0.4677483400811955,0.4153217833274535,0.9081688342424129,0.94,0.0,0.4232272215819361,0.0,0.0
s3_vlp_blocked,wifi_only,1.232109238548603,1.0094386764328607,2.2470011083321784,0.49,0.15,1.8262011715985478,0.0,0.6666666666666666
s3_vlp_blocked,vlp_only,0.9060097777344166,0.4878810318173871,2.1411100459436856,0.78,0.13,1.1313308711911108,0.0,0.0
s3_vlp_blocked,static_fusion,0.9060097777344166,0.4878810318173871,2.1411100459436856,0.78,0.13,1.1313308711911108,0.0,0.0
s4_mixed_dynamic,wifi_only,1.7441667478400993,1.2109163850402986,3.315037299527672,0.4,0.3,2.5147234967078242,0.3333333333333333,0.0
s4_mixed_dynamic,vlp_only,0.8361576903281486,0.5026539894127589,2.3231459919231385,0.82,0.13,0.9809871749276251,0.0,1.0
s4_mixed_dynamic,static_fusion,0.8361576903281486,0.5026539894127589,2.3231459919231385,0.82,0.13,0.9809871749276251,0.0,1.0
