scenario,method,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step,wifi_event_recovery_steps,vlp_event_recovery_steps
s1_clean,wifi_only,1.5318270386290878,0.9676761022079924,3.2166959727700184,0.52,0.24,2.345839116394846,0.0,0.0
s1_clean,vlp_only,0.4437896341909656,0.3535679952703964,0.7545867816943592,0.93,0.02,0.452382267211963,0.0,0.0
s1_clean,static_fusion,0.4437896341909656,0.3535679952703964,0.7545867816943592,0.93,0.02,0.452382267211963,0.0,0.0
s2_wifi_degraded,wifi_only,2.2171138277895293,1.4569958475764246,5.4517161902882885,0.31,0.4,2.830530161731492,1.0,0.0
s2_wifi_degraded,vlp_only,0.43732480741173146,0.3535679952703964,0.7553605502779075,0.94,0.01,0.42979572198469246,0.0,0.0
s2_wifi_degraded,static_fusion,0.43732480741173146,0.3535679952703964,0.7553605502779075,0.94,0.01,0.42979572198469246,0.0,0.0
s3_vlp_blocked,wifi_only,1.4942046469771881,1.0893256394552742,3.390196907250577,0.46,0.25,2.098783241931102,0.0,0.3333333333333333
s3_vlp_blocked,vlp_only,1.043055168681014,0.5280714247528739,2.6987974206251026,0.7,0.21,1.4215619357137004,0.0,0.3333333333333333
s3_vlp_blocked,static_fusion,1.043055168681014,0.5280714247528739,2.6987974206251026,0.7,0.21,1.4215619357137004,0.0,0.3333333333333333
s4_mixed_dynamic,wifi_only,1.8913497904281515,1.5325407947630363,3.8632258400080377,0.37,0.35,2.7517306461601696,1.3333333333333333,0.0
s4_mixed_dynamic,vlp_only,0.8014179790774633,0.42535408568426725,2.401300481298985,0.82,0.14,1.0040490888495315,0.0,2.0
s4_mixed_dynamic,static_fusion,0.8014179790774633,0.42535408568426725,2.401300481298985,0.82,0.14,1.0040490888495315,0.0,2.0
