scenario,filter_name,signal_group,raw_mean_std,filtered_mean_std,std_reduction_percent
s1_clean,moving_average,wifi,4.161860095109766,3.664967867046388,11.939186246246779
s1_clean,moving_average,vlp,0.040776174794830734,0.03999248026391343,1.9219422490229636
s1_clean,median,wifi,4.161860095109766,3.7385072846696352,10.172201870446711
s1_clean,median,vlp,0.040776174794830734,0.040456024581106115,0.7851403799779805
s1_clean,ema,wifi,4.161860095109766,3.6335634800312415,12.693761995970966
s1_clean,ema,vlp,0.040776174794830734,0.039253966652715896,3.7330822466157634
s2_wifi_degraded,moving_average,wifi,6.245550827752809,4.532332171702137,27.43102575417034
s2_wifi_degraded,moving_average,vlp,0.04074568711472414,0.039958985124374465,1.9307613788291964
s2_wifi_degraded,median,wifi,6.245550827752809,4.53937176824362,27.318311972221732
s2_wifi_degraded,median,vlp,0.04074568711472414,0.040431089270659304,0.7721009666104106
s2_wifi_degraded,ema,wifi,6.245550827752809,4.5311226910143905,27.450391230828895
s2_wifi_degraded,ema,vlp,0.04074568711472414,0.039218089054044204,3.749103693794171
s3_vlp_blocked,moving_average,wifi,4.214091902366301,3.710872945414655,11.94133798242695
s3_vlp_blocked,moving_average,vlp,0.039122060616836526,0.035804706096004196,8.479498442893055
s3_vlp_blocked,median,wifi,4.214091902366301,3.724544205036892,11.616920291997362
s3_vlp_blocked,median,vlp,0.039122060616836526,0.03783482638238413,3.29030274519441
s3_vlp_blocked,ema,wifi,4.214091902366301,3.669531164499535,12.922374511125003
s3_vlp_blocked,ema,vlp,0.039122060616836526,0.03512203762196869,10.224469089305574
s4_mixed_dynamic,moving_average,wifi,5.616185533000807,4.023379233946649,28.360998576254286
s4_mixed_dynamic,moving_average,vlp,0.03995492225719766,0.0379451793382322,5.030025852705587
s4_mixed_dynamic,median,wifi,5.616185533000807,4.1380783541535235,26.31870279501806
s4_mixed_dynamic,median,vlp,0.03995492225719766,0.03883216878838731,2.8100504403011266
s4_mixed_dynamic,ema,wifi,5.616185533000807,4.0391706953162165,28.07982087518339
s4_mixed_dynamic,ema,vlp,0.03995492225719766,0.037300803112203434,6.642783905094705
