scenario,method,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step,wifi_event_recovery_steps,vlp_event_recovery_steps
s1_clean,wifi_only,1.3246279451716376,0.9734821207470952,2.2862109903399856,0.51,0.19,1.9688808265820181,0.0,0.0
s1_clean,vlp_only,0.45344309859524645,0.4342978842799154,0.7811391925964987,0.97,0.0,0.47026615339499034,0.0,0.0
s1_clean,static_fusion,0.45344309859524645,0.4342978842799154,0.7811391925964987,0.97,0.0,0.47026615339499034,0.0,0.0
s2_wifi_degraded,wifi_only,2.324002950885694,1.803081424083071,4.795798437693061,0.31,0.46,3.238004314593245,1.0,0.0
s2_wifi_degraded,vlp_only,0.44241306644022627,0.4342978842799154,0.7144998913897004,0.97,0.0,0.4618982026399784,0.0,0.0
s2_wifi_degraded,static_fusion,0.44241306644022627,0.4342978842799154,0.7144998913897004,0.97,0.0,0.4618982026399784,0.0,0.0
s3_vlp_blocked,wifi_only,1.4443992969179933,1.1236130053636801,2.9969556564452504,0.44,0.21,2.0954188438701133,0.0,0.3333333333333333
s3_vlp_blocked,vlp_only,1.0038411759950152,0.5176930096091821,2.8500020309499097,0.77,0.17,1.2104511399145215,0.0,0.3333333333333333
s3_vlp_blocked,static_fusion,0.9929580257820971,0.5176930096091821,2.7390261720731526,0.77,0.16,1.1913032133240355,0.0,0.3333333333333333
s4_mixed_dynamic,wifi_only,2.3029890981401713,1.812724886305951,4.599304521983863,0.29,0.47,3.4480881409538906,5.666666666666667,0.5
s4_mixed_dynamic,vlp_only,0.6341576803514319,0.4632878560887047,0.8577546135421579,0.9,0.07,0.7736515197452964,0.0,0.0
s4_mixed_dynamic,static_fusion,0.6341576803514319,0.4632878560887047,0.8577546135421579,0.9,0.07,0.7736515197452964,0.0,0.0
