Scenario,Method,Mean error mean,Mean error std,median_error_m_mean,median_error_m_std,P90 error mean,P90 error std,zone_accuracy_mean,zone_accuracy_std,Failure rate mean,Failure rate std,Smoothness mean,Smoothness std
WiFi degraded,VLP only,0.4506822764114334,0.0180844916494479,0.4054894334766531,0.0333350475721362,0.7573015007852776,0.088080031884064,0.948,0.0130384048104053,0.004,0.0054772255750516,0.461866146226433,0.0396540097915719
WiFi degraded,WiFi only,2.2321939301598195,0.3108613156753795,1.5933809362910691,0.1890123689438989,5.079568210287954,1.096199938986315,0.3259999999999999,0.0230217288664426,0.392,0.0645755371638517,3.119568880986461,0.4445696731255205
VLP blocked,Adaptive DSP+GSP fusion,0.7513027719284759,0.0311258796287483,0.5055261987001938,0.0142399044567229,1.578013521249877,0.2006112168075781,0.7939999999999999,0.0260768096208105,0.074,0.0114017542509913,0.6722060133749421,0.0640138446573978
VLP blocked,Static fusion,1.0128609722046762,0.0919370126809703,0.5248618068976836,0.0369708789770869,2.666784306268732,0.3047038475741798,0.73,0.0543139024560011,0.1679999999999999,0.0454972526643093,1.2826470444705615,0.1377505466747866
VLP blocked,Static fusion + graph diffusion,0.9225053756129432,0.090916244411442,0.7505110518678688,0.0749969297765322,1.8540934186647609,0.2004104659441231,0.6679999999999999,0.056302753041037,0.084,0.0230217288664426,1.11805303519324,0.0698757228411985
VLP blocked,Static fusion + median DSP,0.9236813734472576,0.050725500318161,0.6956559694952408,0.074492149745558,1.7990822229738737,0.0872667767193894,0.718,0.0228035085019827,0.09,0.0122474487139158,0.600454140341501,0.0193420193698686
VLP blocked,VLP only,1.015034442360823,0.0914775994818461,0.5248618068976836,0.0369708789770869,2.688979478044084,0.3151445930512662,0.73,0.0543139024560011,0.1699999999999999,0.045276925690687,1.285293222843958,0.1354053244882504
VLP blocked,WiFi only,1.369477114096608,0.1460174156705564,1.0470503351421585,0.0559055166180759,2.7921193012339507,0.469845035837211,0.476,0.0250998007960222,0.192,0.0460434577328853,1.977879715827995,0.2301272089836711
Mixed dynamic,Adaptive DSP+GSP fusion,0.6111952356744953,0.077769335145121,0.4599715490220107,0.0322287520443771,1.1979893480363395,0.3348394935221323,0.8699999999999999,0.0484767985741633,0.0399999999999999,0.0234520787991171,0.5353180494774548,0.0665451383587883
Mixed dynamic,Static fusion,0.7591597029223794,0.1009449536059918,0.4601483297242272,0.0282666291285209,1.7491055266214055,0.7039972117172738,0.842,0.034928498393146,0.1,0.0353553390593273,0.916976261617142,0.1543543441176247
Mixed dynamic,Static fusion + graph diffusion,1.0835153737416774,0.0712302821140417,0.8888002272518468,0.0616307232898465,2.169417016484883,0.3652117027155779,0.5740000000000001,0.0531977443130815,0.116,0.0384707681233426,1.3294768243653057,0.0809066521324424
Mixed dynamic,Static fusion + median DSP,0.7936413894483039,0.0367813320470475,0.6779227284754958,0.0562845928461053,1.3615915993267835,0.2007348124038524,0.772,0.0303315017762062,0.044,0.0250998007960222,0.4627483883059099,0.0300496027245681
Mixed dynamic,VLP only,0.7591597029223794,0.1009449536059918,0.4601483297242272,0.0282666291285209,1.7491055266214055,0.7039972117172738,0.842,0.034928498393146,0.1,0.0353553390593273,0.916976261617142,0.1543543441176247
Mixed dynamic,WiFi only,1.9176437074471688,0.2257353539227831,1.4443652657568076,0.293135553141584,3.985815806956546,0.6141466937290401,0.358,0.0785493475466219,0.3359999999999999,0.0942337519151179,2.7142835638821365,0.4504930950785332
