seed,scenario,method,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step,wifi_event_recovery_steps,vlp_event_recovery_steps
104,s1_clean,adaptive_fusion,0.4505891768643956,0.39937128281365647,0.7396984181726743,0.95,0.0,0.4922012329430086,0.0,0.0
104,s2_wifi_degraded,adaptive_fusion,0.43347228639743834,0.39296890372024407,0.6841837291248524,0.95,0.0,0.4719992127409885,0.0,0.0
104,s3_vlp_blocked,adaptive_fusion,0.773989835468149,0.5110816021763073,1.5164605964552018,0.78,0.07,0.599779834355866,0.0,0.0
104,s4_mixed_dynamic,adaptive_fusion,0.5852724685255755,0.43795999460953805,1.2454767294978364,0.88,0.02,0.587945764908858,0.0,0.0
