seed,scenario,gsp_method,mean_runtime_s_per_step,mean_runtime_ms_per_step
102,s1_clean,static_raw,0.0018589050600348856,1.8589050600348855
102,s1_clean,graph_diffusion_1,9.908949974487768e-05,0.09908949974487768
102,s1_clean,graph_diffusion_3,9.089461993426084e-05,0.09089461993426085
102,s1_clean,laplacian,9.043055011716206e-05,0.09043055011716206
102,s2_wifi_degraded,static_raw,0.0017971109001155127,1.7971109001155128
102,s2_wifi_degraded,graph_diffusion_1,9.317751038906863e-05,0.09317751038906863
102,s2_wifi_degraded,graph_diffusion_3,8.890525990864263e-05,0.08890525990864262
102,s2_wifi_degraded,laplacian,8.700785987457493e-05,0.08700785987457493
102,s3_vlp_blocked,static_raw,0.0018006406300264644,1.8006406300264644
102,s3_vlp_blocked,graph_diffusion_1,9.384491018863627e-05,0.09384491018863628
102,s3_vlp_blocked,graph_diffusion_3,8.784987992839888e-05,0.08784987992839888
102,s3_vlp_blocked,laplacian,8.669024009577697e-05,0.08669024009577697
102,s4_mixed_dynamic,static_raw,0.0018217801101127406,1.8217801101127407
102,s4_mixed_dynamic,graph_diffusion_1,9.495102982327808e-05,0.09495102982327808
102,s4_mixed_dynamic,graph_diffusion_3,8.926955990318675e-05,0.08926955990318675
102,s4_mixed_dynamic,laplacian,8.830826005578274e-05,0.08830826005578274
