seed,scenario,method,mean_runtime_s_per_step,mean_runtime_ms_per_step
102,s1_clean,wifi_only,0.0006791636298294179,0.6791636298294179
102,s1_clean,vlp_only,0.0006801708998682443,0.6801708998682443
102,s1_clean,static_fusion,6.868144009786192e-05,0.06868144009786192
102,s2_wifi_degraded,wifi_only,0.0006672934301604983,0.6672934301604982
102,s2_wifi_degraded,vlp_only,0.0006763365900405915,0.6763365900405915
102,s2_wifi_degraded,static_fusion,6.868967990158126e-05,0.06868967990158126
102,s3_vlp_blocked,wifi_only,0.0006697677501506405,0.6697677501506405
102,s3_vlp_blocked,vlp_only,0.000682806209588307,0.682806209588307
102,s3_vlp_blocked,static_fusion,6.838312994659645e-05,0.06838312994659645
102,s4_mixed_dynamic,wifi_only,0.0006733188301950577,0.6733188301950577
102,s4_mixed_dynamic,vlp_only,0.0006846272499751649,0.6846272499751649
102,s4_mixed_dynamic,static_fusion,6.954413984203712e-05,0.06954413984203711
