scenario,filter_name,signal_group,raw_mean_std,filtered_mean_std,std_reduction_percent
s1_clean,moving_average,wifi,4.817931751562253,4.251693081550239,11.752733314007752
s1_clean,moving_average,vlp,0.03762665542099805,0.035804280320526675,4.843308766301814
s1_clean,median,wifi,4.817931751562253,4.344151336472951,9.833688800919088
s1_clean,median,vlp,0.03762665542099805,0.03653871132462645,2.891418554742065
s1_clean,ema,wifi,4.817931751562253,4.221018677659565,12.389404928974644
s1_clean,ema,vlp,0.03762665542099805,0.03535580760416154,6.0352103885620165
s2_wifi_degraded,moving_average,wifi,6.527021002372686,4.62611090395126,29.12370126785882
s2_wifi_degraded,moving_average,vlp,0.03761437921127775,0.03577314139559451,4.895037095630675
s2_wifi_degraded,median,wifi,6.527021002372686,4.775683109380292,26.832116709226945
s2_wifi_degraded,median,vlp,0.03761437921127775,0.03639661618013958,3.2374933646998905
s2_wifi_degraded,ema,wifi,6.527021002372686,4.6397549706098005,28.91466154432215
s2_wifi_degraded,ema,vlp,0.03761437921127775,0.0353109847376658,6.123707268100632
s3_vlp_blocked,moving_average,wifi,4.578445646390876,4.008125090217647,12.45664140673603
s3_vlp_blocked,moving_average,vlp,0.038585034923930145,0.03470840772964806,10.04697080597387
s3_vlp_blocked,median,wifi,4.578445646390876,4.123433404079432,9.938137906477591
s3_vlp_blocked,median,vlp,0.038585034923930145,0.037007214134897194,4.089203993578345
s3_vlp_blocked,ema,wifi,4.578445646390876,3.9926666983792987,12.79427546493511
s3_vlp_blocked,ema,vlp,0.038585034923930145,0.03429356325009698,11.122114266045747
s4_mixed_dynamic,moving_average,wifi,6.397905813903449,4.917322295735951,23.141689815908283
s4_mixed_dynamic,moving_average,vlp,0.03901330344234833,0.035950009806550554,7.8519206668170005
s4_mixed_dynamic,median,wifi,6.397905813903449,5.076779866737027,20.64934973402469
s4_mixed_dynamic,median,vlp,0.03901330344234833,0.03715537139837516,4.76230382981723
s4_mixed_dynamic,ema,wifi,6.397905813903449,4.890567970273453,23.559862984452867
s4_mixed_dynamic,ema,vlp,0.03901330344234833,0.035440242255315,9.158571235356671
