scenario,signal_variant,method,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step,wifi_event_recovery_steps,vlp_event_recovery_steps
s1_clean,raw,wifi_only,1.3246279451716376,0.9734821207470952,2.2862109903399856,0.51,0.19,1.9688808265820181,0.0,0.0
s1_clean,raw,vlp_only,0.45344309859524645,0.4342978842799154,0.7811391925964987,0.97,0.0,0.47026615339499034,0.0,0.0
s1_clean,raw,static_fusion,0.45344309859524645,0.4342978842799154,0.7811391925964987,0.97,0.0,0.47026615339499034,0.0,0.0
s1_clean,moving_average,wifi_only,0.9026739243366141,0.8442426274718366,1.5206018894450493,0.65,0.03,0.546978814504809,0.0,0.0
s1_clean,moving_average,vlp_only,0.6967344458548755,0.6526459638249754,1.0836492625555305,0.81,0.0,0.39537510731041364,0.0,0.0
s1_clean,moving_average,static_fusion,0.6967344458548755,0.6526459638249754,1.0836492625555305,0.81,0.0,0.39537510731041364,0.0,0.0
s1_clean,median,wifi_only,1.0456518353927244,0.8489716181063214,1.8057284554116901,0.6,0.09,0.680883066485436,0.0,0.0
s1_clean,median,vlp_only,0.7026762364922898,0.6697572784905091,1.1146263849432736,0.81,0.0,0.40966009278892973,0.0,0.0
s1_clean,median,static_fusion,0.7026762364922898,0.6697572784905091,1.1146263849432736,0.81,0.0,0.40966009278892973,0.0,0.0
s1_clean,ema,wifi_only,0.8802194422281037,0.8134219089373858,1.4953444598322243,0.68,0.05,0.782338037532544,0.0,0.0
s1_clean,ema,vlp_only,0.6348735032588962,0.598657283792738,1.0313513119745998,0.86,0.0,0.35252015087486527,0.0,0.0
s1_clean,ema,static_fusion,0.6348735032588962,0.598657283792738,1.0313513119745998,0.86,0.0,0.35252015087486527,0.0,0.0
s2_wifi_degraded,raw,wifi_only,2.324002950885694,1.803081424083071,4.795798437693061,0.31,0.46,3.238004314593245,1.0,0.0
s2_wifi_degraded,raw,vlp_only,0.44241306644022627,0.4342978842799154,0.7144998913897004,0.97,0.0,0.4618982026399784,0.0,0.0
s2_wifi_degraded,raw,static_fusion,0.44241306644022627,0.4342978842799154,0.7144998913897004,0.97,0.0,0.4618982026399784,0.0,0.0
s2_wifi_degraded,moving_average,wifi_only,1.6635282293795521,1.1185565073467632,3.5081510572625443,0.41,0.28,1.042316862276455,0.0,0.0
s2_wifi_degraded,moving_average,vlp_only,0.7047173802960038,0.6697572784905091,1.0836492625555305,0.81,0.0,0.38700715655540163,0.0,0.0
s2_wifi_degraded,moving_average,static_fusion,0.7047173802960038,0.6697572784905091,1.0836492625555305,0.81,0.0,0.38700715655540163,0.0,0.0
s2_wifi_degraded,median,wifi_only,1.4929348261901783,1.233119403534798,2.8931576926973532,0.37,0.27,1.052599228684661,0.0,0.0
s2_wifi_degraded,median,vlp_only,0.708915975025817,0.6970848040704187,1.1146263849432736,0.81,0.0,0.35843718559836935,0.0,0.0
s2_wifi_degraded,median,static_fusion,0.708915975025817,0.6970848040704187,1.1146263849432736,0.81,0.0,0.35843718559836935,0.0,0.0
s2_wifi_degraded,ema,wifi_only,1.577701951880135,1.1468951593592294,3.6702114257652108,0.42,0.25,1.2136439480752153,1.5,0.0
s2_wifi_degraded,ema,vlp_only,0.6375714500989281,0.5869677808535526,1.052110153761043,0.86,0.0,0.36088810162987733,0.0,0.0
s2_wifi_degraded,ema,static_fusion,0.6375714500989281,0.5869677808535526,1.052110153761043,0.86,0.0,0.36088810162987733,0.0,0.0
s3_vlp_blocked,raw,wifi_only,1.4443992969179933,1.1236130053636801,2.9969556564452504,0.44,0.21,2.0954188438701133,0.0,0.3333333333333333
s3_vlp_blocked,raw,vlp_only,1.0038411759950152,0.5176930096091821,2.8500020309499097,0.77,0.17,1.2104511399145215,0.0,0.3333333333333333
s3_vlp_blocked,raw,static_fusion,0.9929580257820971,0.5176930096091821,2.7390261720731526,0.77,0.16,1.1913032133240355,0.0,0.3333333333333333
s3_vlp_blocked,moving_average,wifi_only,0.7057458077094103,0.5863680234867414,1.2864466524660032,0.77,0.02,0.6081477851108781,0.0,0.0
s3_vlp_blocked,moving_average,vlp_only,0.949590713536184,0.8077587962967993,1.807602567046754,0.67,0.08,0.6270862367133043,0.0,0.0
s3_vlp_blocked,moving_average,static_fusion,0.949590713536184,0.8077587962967993,1.807602567046754,0.67,0.08,0.6270862367133043,0.0,0.0
s3_vlp_blocked,median,wifi_only,0.769011984820874,0.7008431151985195,1.31384806986762,0.73,0.01,0.6580899256159201,0.0,0.0
s3_vlp_blocked,median,vlp_only,0.9771831182361997,0.7748115106521787,1.7688185226031756,0.72,0.09,0.5841935329522282,0.0,0.0
s3_vlp_blocked,median,static_fusion,0.9771831182361997,0.7748115106521787,1.7688185226031756,0.72,0.09,0.5841935329522282,0.0,0.0
s3_vlp_blocked,ema,wifi_only,0.7756472953546758,0.6972033141353251,1.3104171302424497,0.72,0.02,0.8401072804528744,0.0,0.0
s3_vlp_blocked,ema,vlp_only,0.8273169254293735,0.6697572784905091,1.7259996516960792,0.71,0.06,0.5140424214295579,0.0,0.0
s3_vlp_blocked,ema,static_fusion,0.8248725290787969,0.6697572784905091,1.7259996516960792,0.71,0.06,0.5140424214295579,0.0,0.0
s4_mixed_dynamic,raw,wifi_only,2.3029890981401713,1.812724886305951,4.599304521983863,0.29,0.47,3.4480881409538906,5.666666666666667,0.5
s4_mixed_dynamic,raw,vlp_only,0.6341576803514319,0.4632878560887047,0.8577546135421579,0.9,0.07,0.7736515197452964,0.0,0.0
s4_mixed_dynamic,raw,static_fusion,0.6341576803514319,0.4632878560887047,0.8577546135421579,0.9,0.07,0.7736515197452964,0.0,0.0
s4_mixed_dynamic,moving_average,wifi_only,1.3141406384597014,1.092965092331374,2.5337784806081682,0.46,0.21,0.8625118507472969,0.0,0.0
s4_mixed_dynamic,moving_average,vlp_only,0.7885986320716494,0.7147323977395212,1.3075048931806366,0.72,0.01,0.4500641331929701,0.0,0.0
s4_mixed_dynamic,moving_average,static_fusion,0.7885986320716494,0.7147323977395212,1.3075048931806366,0.72,0.01,0.4500641331929701,0.0,0.0
s4_mixed_dynamic,median,wifi_only,1.3066043768931632,1.0069251741622505,2.646188300055854,0.49,0.21,0.9286236863076462,0.0,0.0
s4_mixed_dynamic,median,vlp_only,0.8232048271452864,0.700175336467954,1.2467016966868534,0.76,0.06,0.4656952228757738,0.0,0.0
s4_mixed_dynamic,median,static_fusion,0.8232048271452864,0.700175336467954,1.2467016966868534,0.76,0.06,0.4656952228757738,0.0,0.0
s4_mixed_dynamic,ema,wifi_only,1.288490047449268,1.036287811278176,2.417723079210655,0.49,0.19,1.0122783602639087,0.0,0.0
s4_mixed_dynamic,ema,vlp_only,0.7320793544488349,0.6147473275295179,1.2435066163607398,0.78,0.02,0.4643491186714862,0.0,0.0
s4_mixed_dynamic,ema,static_fusion,0.7320793544488349,0.6147473275295179,1.2435066163607398,0.78,0.02,0.4643491186714862,0.0,0.0
