scenario,filter_name,signal_group,raw_mean_std,filtered_mean_std,std_reduction_percent
s1_clean,moving_average,wifi,4.364966436762773,3.687938837782348,15.510488082527736
s1_clean,moving_average,vlp,0.03269353922588334,0.03070243188899719,6.090216550522001
s1_clean,median,wifi,4.364966436762773,3.7094781648701827,15.017028913943403
s1_clean,median,vlp,0.03269353922588334,0.031083951585081822,4.923259087003999
s1_clean,ema,wifi,4.364966436762773,3.6646799096316847,16.043342767383294
s1_clean,ema,vlp,0.03269353922588334,0.03008905844510707,7.966346998352239
s2_wifi_degraded,moving_average,wifi,6.144018766192631,4.389449523698521,28.55735487249161
s2_wifi_degraded,moving_average,vlp,0.03264455293956943,0.030702458182698233,5.949215357509539
s2_wifi_degraded,median,wifi,6.144018766192631,4.219648120366084,31.321041146803903
s2_wifi_degraded,median,vlp,0.03264455293956943,0.031073338304706613,4.813098950294708
s2_wifi_degraded,ema,wifi,6.144018766192631,4.369491044141647,28.8821989251611
s2_wifi_degraded,ema,vlp,0.03264455293956943,0.030084514570118022,7.842160908714143
s3_vlp_blocked,moving_average,wifi,4.45158846901256,3.733202737123596,16.1377390765035
s3_vlp_blocked,moving_average,vlp,0.03462018717529391,0.03033485354228838,12.37813536740114
s3_vlp_blocked,median,wifi,4.45158846901256,3.7596070713899628,15.544594978611993
s3_vlp_blocked,median,vlp,0.03462018717529391,0.032174653952442116,7.063893705915618
s3_vlp_blocked,ema,wifi,4.45158846901256,3.71357857980745,16.578574015598818
s3_vlp_blocked,ema,vlp,0.03462018717529391,0.02975076973675645,14.065254511426883
s4_mixed_dynamic,moving_average,wifi,5.707335208794596,3.968138143187886,30.473014147245664
s4_mixed_dynamic,moving_average,vlp,0.033877467698798604,0.03142082327142932,7.251558614743825
s4_mixed_dynamic,median,wifi,5.707335208794596,4.182944737336919,26.70932082469417
s4_mixed_dynamic,median,vlp,0.033877467698798604,0.03134509584791613,7.475091920675877
s4_mixed_dynamic,ema,wifi,5.707335208794596,4.003248207348553,29.857839764171676
s4_mixed_dynamic,ema,vlp,0.033877467698798604,0.030799416606860752,9.085835810706147
