seed,scenario,gsp_method,mean_runtime_s_per_step,mean_runtime_ms_per_step
103,s1_clean,static_raw,0.0018610796298162314,1.8610796298162313
103,s1_clean,graph_diffusion_1,9.518196013232228e-05,0.09518196013232227
103,s1_clean,graph_diffusion_3,8.896126008039573e-05,0.08896126008039573
103,s1_clean,laplacian,8.818784019240411e-05,0.08818784019240411
103,s2_wifi_degraded,static_raw,0.0018284806794690667,1.8284806794690667
103,s2_wifi_degraded,graph_diffusion_1,9.374825978738954e-05,0.09374825978738954
103,s2_wifi_degraded,graph_diffusion_3,8.853021990944399e-05,0.08853021990944399
103,s2_wifi_degraded,laplacian,8.773931025643833e-05,0.08773931025643833
103,s3_vlp_blocked,static_raw,0.0018514444502216066,1.8514444502216065
103,s3_vlp_blocked,graph_diffusion_1,9.409057998709614e-05,0.09409057998709613
103,s3_vlp_blocked,graph_diffusion_3,8.820215989544523e-05,0.08820215989544522
103,s3_vlp_blocked,laplacian,8.756538005400216e-05,0.08756538005400216
103,s4_mixed_dynamic,static_raw,0.00185613581979851,1.85613581979851
103,s4_mixed_dynamic,graph_diffusion_1,9.52791399686248e-05,0.0952791399686248
103,s4_mixed_dynamic,graph_diffusion_3,8.905107963073533e-05,0.08905107963073533
103,s4_mixed_dynamic,laplacian,8.79503601390752e-05,0.0879503601390752
