scenario,signal_variant,method,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step,wifi_event_recovery_steps,vlp_event_recovery_steps
s1_clean,raw,wifi_only,1.5344731227918489,1.0878908690851339,3.2226339077648327,0.47,0.24,2.203694132375135,0.0,0.0
s1_clean,raw,vlp_only,0.4505891768643956,0.39937128281365647,0.7396984181726743,0.95,0.0,0.4922012329430086,0.0,0.0
s1_clean,raw,static_fusion,0.4439290434246052,0.39296890372024407,0.733929548174379,0.95,0.0,0.4719992127409884,0.0,0.0
s1_clean,moving_average,wifi_only,0.8778900116186586,0.8443433650182361,1.4760694778927919,0.58,0.01,0.5534587592283216,0.0,0.0
s1_clean,moving_average,vlp_only,0.6127002996612901,0.6016276472644335,1.0161093375507437,0.88,0.0,0.3466031161513612,0.0,0.0
s1_clean,moving_average,static_fusion,0.6199434208082925,0.6089544949288839,1.0238852997059422,0.87,0.0,0.3466031161513612,0.0,0.0
s1_clean,median,wifi_only,0.9053279765972403,0.8112327922965097,1.4654718781312066,0.58,0.03,0.5213562785730356,0.0,0.0
s1_clean,median,vlp_only,0.6748770049774293,0.6625613809692088,1.1443726295265033,0.8,0.0,0.33476904670435303,0.0,0.0
s1_clean,median,static_fusion,0.6773681831400421,0.6695905444832945,1.1443726295265033,0.8,0.0,0.33476904670435303,0.0,0.0
s1_clean,ema,wifi_only,0.8140699901380972,0.7531632033782516,1.3908111719442509,0.6,0.0,0.5005691836980207,0.0,0.0
s1_clean,ema,vlp_only,0.5740055492623961,0.545977797443014,0.9753955140428807,0.91,0.0,0.3466031161513612,0.0,0.0
s1_clean,ema,static_fusion,0.5802476928546724,0.5615773281081805,0.9934792461908282,0.9,0.0,0.3466031161513612,0.0,0.0
s2_wifi_degraded,raw,wifi_only,2.706220778070177,1.7765072470287309,6.794706937234629,0.31,0.43,3.8504114494554003,2.25,0.0
s2_wifi_degraded,raw,vlp_only,0.43347228639743834,0.39296890372024407,0.6841837291248524,0.95,0.0,0.4719992127409885,0.0,0.0
