scenario,gsp_method,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step,wifi_event_recovery_steps,vlp_event_recovery_steps
s1_clean,static_raw,0.5548563853086488,0.5070513914939925,0.9061772407969697,0.95,0.0,0.7072379785115105,0.0,0.0
s1_clean,graph_diffusion_1,0.5551095637089195,0.5173725502090367,0.8966550815601323,0.95,0.0,0.6987029495253243,0.0,0.0
s1_clean,graph_diffusion_3,0.5572083644713435,0.5122908514022102,0.9071077168515257,0.95,0.0,0.6842910729787736,0.0,0.0
s1_clean,laplacian,0.554949208971392,0.5186184423719534,0.8919151022761148,0.95,0.0,0.697287047639826,0.0,0.0
s2_wifi_degraded,static_raw,0.9509205788437026,0.7552568053135325,1.8587087851457338,0.65,0.09,1.338474907249358,0.0,0.0
s2_wifi_degraded,graph_diffusion_1,0.941452769717604,0.7520983353027862,1.8247088035559467,0.65,0.09,1.313826622094251,0.0,0.0
s2_wifi_degraded,graph_diffusion_3,0.92690298627556,0.7390063194323236,1.7616641584106438,0.65,0.09,1.271895281688483,0.0,0.0
s2_wifi_degraded,laplacian,0.9436130968875328,0.7563604739728603,1.8402776168960029,0.65,0.09,1.3151928356756555,0.0,0.0
s3_vlp_blocked,static_raw,0.7989339823091538,0.652986555824042,1.6026527336523853,0.75,0.07,1.0721632045659577,0.0,0.0
s3_vlp_blocked,graph_diffusion_1,0.7937100554330301,0.6544386785780145,1.5620254917023837,0.75,0.05,1.0516303332942034,0.0,0.0
s3_vlp_blocked,graph_diffusion_3,0.7870168847448425,0.6499990994919209,1.524225891368371,0.75,0.05,1.0174790257999697,0.0,0.0
s3_vlp_blocked,laplacian,0.7942634039660653,0.646981392348536,1.558267404071246,0.75,0.05,1.0528078365160365,0.0,0.0
s4_mixed_dynamic,static_raw,0.9963675739922067,0.8979674666168262,1.929062468544961,0.62,0.09,1.313492744123098,0.0,0.0
s4_mixed_dynamic,graph_diffusion_1,0.987645603512872,0.876153201733245,1.906472415017072,0.61,0.09,1.2929574459707471,0.0,0.0
s4_mixed_dynamic,graph_diffusion_3,0.9732586502515305,0.8263967479816503,1.871738129317441,0.64,0.07,1.2575214755294644,0.0,0.0
s4_mixed_dynamic,laplacian,0.9865038262409993,0.8675612436155321,1.9055079167118136,0.62,0.09,1.2926457771286328,0.0,0.0
