scenario,gsp_method,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step,wifi_event_recovery_steps,vlp_event_recovery_steps
s1_clean,static_raw,0.6887963956647846,0.5763242445480826,1.2495582224165958,0.82,0.02,0.7965486578785871,0.0,0.0
s1_clean,graph_diffusion_1,0.7041820308548146,0.5975434653942067,1.26858325411886,0.81,0.02,0.7843651384530899,0.0,0.0
s1_clean,graph_diffusion_3,0.7399722588196107,0.6067934630116689,1.4106057652416555,0.77,0.02,0.7640416441046016,0.0,0.0
s1_clean,laplacian,0.7052201359026555,0.5985678160967259,1.2955554410228252,0.82,0.02,0.7804585239353214,0.0,0.0
s2_wifi_degraded,static_raw,1.0478854695276234,0.8335429606635604,2.0178322947055007,0.62,0.1,1.3691230286690859,0.5,0.0
s2_wifi_degraded,graph_diffusion_1,1.0622367167216107,0.8489165153461578,2.0138914099554284,0.61,0.1,1.35782708493638,0.5,0.0
s2_wifi_degraded,graph_diffusion_3,1.091221134023621,0.8689349825790812,2.0103125752254205,0.6,0.1,1.3364743251341162,0.5,0.0
s2_wifi_degraded,laplacian,1.0588363899692326,0.8587269239721106,2.010957042220556,0.6,0.1,1.3474692911673465,0.5,0.0
s3_vlp_blocked,static_raw,0.8381660798518145,0.6508213034994726,1.7361653869939,0.73,0.09,1.1255558217641328,0.0,0.0
s3_vlp_blocked,graph_diffusion_1,0.8494476708205516,0.689552363508364,1.7839592933884678,0.71,0.09,1.1095988052958248,0.0,0.0
s3_vlp_blocked,graph_diffusion_3,0.8786363279067557,0.7096336921164075,1.956448681763921,0.7,0.1,1.0840659965989838,0.0,0.0
s3_vlp_blocked,laplacian,0.8522280435960343,0.6843082846146253,1.742550416908008,0.72,0.09,1.1069901310702002,0.0,0.0
s4_mixed_dynamic,static_raw,1.0669863472700016,0.8060537288870242,2.1328463216492013,0.63,0.13,1.3373626772741327,0.0,0.5
s4_mixed_dynamic,graph_diffusion_1,1.0748700443706056,0.8228186776226164,2.1595354888140252,0.62,0.14,1.3148780916430924,0.0,0.5
s4_mixed_dynamic,graph_diffusion_3,1.0963798183610647,0.8297705164852848,2.2055394251435594,0.6,0.16,1.2776607061340117,0.0,0.5
s4_mixed_dynamic,laplacian,1.07750515135036,0.8256989302766558,2.1607967541838926,0.62,0.15,1.3145317881389937,0.0,0.5
