scenario,ablation_stage,mean_error_m_mean,mean_error_m_std,median_error_m_mean,median_error_m_std,p90_error_m_mean,p90_error_m_std,zone_accuracy_mean,zone_accuracy_std,failure_rate_mean,failure_rate_std,trajectory_smoothness_m_per_step_mean,trajectory_smoothness_m_per_step_std
s1_clean,Adaptive DSP+GSP fusion,0.4515485995442427,0.011007004616182366,0.404554194216756,0.031113706001390688,0.7556032684167031,0.03071127939633207,0.95,0.01999999999999997,0.004,0.00894427190999916,0.45477120456927034,0.027397666739840662
s1_clean,Static fusion,0.45021657285628464,0.011542121453367839,0.40327371839807347,0.03150955846338113,0.754449494417044,0.03155495462001325,0.95,0.01999999999999997,0.004,0.00894427190999916,0.45073080052886627,0.021311390666770513
s1_clean,Static fusion + graph diffusion,0.733116311668529,0.12067845898863416,0.633937576777735,0.0888388478485187,1.3192165697933382,0.2681507254184742,0.792,0.10109401564880086,0.032,0.026832815729997475,0.8385877873841976,0.10834970256152275
s1_clean,Static fusion + median DSP,0.6736813486537704,0.019525411610590872,0.6357613398830686,0.03809211007583187,1.0991044698373016,0.03546200835725662,0.8300000000000001,0.03162277660168376,0.004,0.00894427190999916,0.36707900082633377,0.035639149334619855
s1_clean,VLP only,0.4515485995442427,0.011007004616182366,0.404554194216756,0.031113706001390688,0.7556032684167031,0.03071127939633207,0.95,0.01999999999999997,0.004,0.00894427190999916,0.45477120456927034,0.027397666739840662
s1_clean,WiFi only,1.3650829222503247,0.17078764426206341,0.9982384442822388,0.052262448373311114,2.635039232764766,0.5347337791881656,0.502,0.019235384061671374,0.188,0.0535723809439155,1.9716652753991284,0.31387658077452407
s2_wifi_degraded,Adaptive DSP+GSP fusion,0.4511725442504462,0.018839697981746856,0.40651449228015524,0.03438892857615011,0.7573015007852776,0.08808003188406409,0.9480000000000001,0.013038404810405309,0.004,0.005477225575051661,0.461866146226433,0.0396540097915719
s2_wifi_degraded,Static fusion,0.4665513659167336,0.029306418010691334,0.40548943347665317,0.0333350475721362,0.7589408086703442,0.08738568001818614,0.944,0.0151657508881031,0.006,0.005477225575051661,0.4963214697378218,0.08725101461613842
s2_wifi_degraded,Static fusion + graph diffusion,1.1077918892733307,0.14664913809695768,0.8530608541159734,0.0937170810096776,2.3077146879297117,0.4943479659562273,0.576,0.0502991053598372,0.13799999999999998,0.060166435825965286,1.3983417614019487,0.11380066273057304
s2_wifi_degraded,Static fusion + median DSP,0.6700319366838237,0.02665075896070602,0.6440348876231503,0.04878470161475457,1.1050318950035545,0.03562764874290666,0.836,0.024083189157584603,0.002,0.00447213595499958,0.3645420591973272,0.027139953652910238
