scenario,method_family,method_label,n_seeds,mean_error_m_mean,mean_error_m_std,mean_error_m_ci95_low,mean_error_m_ci95_high,median_error_m_mean,median_error_m_std,p90_error_m_mean,p90_error_m_std,p90_error_m_ci95_low,p90_error_m_ci95_high,failure_rate_mean,failure_rate_std,trajectory_smoothness_m_per_step_mean,trajectory_smoothness_m_per_step_std,zone_accuracy_mean,zone_accuracy_std
s1_clean,adaptive,adaptive_fusion,10,0.4675982237532868,0.0312065688435372,0.4452743892194135,0.4899220582871602,0.4101127967591525,0.0334652457220004,0.7998015630722495,0.1329946541053201,0.7046629188008289,0.8949402073436701,0.003,0.0067494855771055,0.4576215625643479,0.0507596358177727,0.94,0.0305505046330389
s1_clean,baseline,static_fusion,10,0.4671324994587579,0.031862957991984,0.444339112414539,0.4899258865029769,0.4095100373580623,0.0338049941073657,0.7992246760724198,0.1332964984616059,0.7038701053562019,0.8945792467886376,0.003,0.0067494855771055,0.4556013605441458,0.0496196832743899,0.94,0.0305505046330389
s1_clean,baseline,vlp_only,10,0.4675982237532868,0.0312065688435372,0.4452743892194135,0.4899220582871602,0.4101127967591525,0.0334652457220004,0.7998015630722495,0.1329946541053201,0.7046629188008289,0.8949402073436701,0.003,0.0067494855771055,0.4576215625643479,0.0507596358177727,0.94,0.0305505046330389
s1_clean,baseline,wifi_only,10,1.4029833400239853,0.1384337622723535,1.303953792162956,1.5020128878850143,1.042445784045859,0.0773709437079538,2.631483266718478,0.3997358549521336,2.3455294623143814,2.917437071122575,0.184,0.0380642731296538,1.9977910914904395,0.2698420980888389,0.481,0.0324722103412201
s1_clean,dsp_static,static_fusion_median,10,0.6902602138670144,0.0311749222375297,0.6679590179512991,0.7125614097827297,0.6582165336304736,0.0444348573499755,1.1486512207673552,0.0673897435870223,1.1004435023007864,1.196858939233924,0.002,0.0063245553203367,0.3801252500878445,0.0515183925449833,0.813,0.0356058671819375
s1_clean,gsp_expected,graph_diffusion_3,10,0.7160661620650078,0.0903598948460547,0.6514265872640995,0.7807057368659162,0.6116412504534318,0.0674426554054035,1.3019937983301555,0.2068809101855124,1.1540001105154525,1.449987486144859,0.027,0.0205750658160146,0.8212298318919213,0.0866647308904864,0.799,0.0772370089759796
s2_wifi_degraded,adaptive,adaptive_fusion,10,0.470734438310943,0.0356889193141741,0.4452041234129187,0.4962647532089673,0.4101599063933106,0.0337239921760821,0.8274763953544124,0.20891251047521,0.6780293882423021,0.9769234024665228,0.004,0.0051639777949432,0.4778141936602212,0.0640544578167102,0.936,0.0442718872423573
s2_wifi_degraded,baseline,static_fusion,10,0.4799600270235388,0.0374710114353903,0.4531548802195266,0.506765173827551,0.4092035241621509,0.0326596101907553,0.828427717182651,0.2084684845051273,0.6792983471146696,0.9775570872506324,0.006,0.006992058987801,0.4928417083604881,0.0801320050318372,0.933,0.0439823196801219
s2_wifi_degraded,baseline,vlp_only,10,0.4705370360889624,0.0357036442828399,0.4449961875829127,0.496077884595012,0.4096473769915595,0.0333171148692276,0.8274763953544124,0.20891251047521,0.6780293882423021,0.9769234024665228,0.004,0.0051639777949432,0.4778141936602212,0.0640544578167102,0.936,0.0442718872423573
s2_wifi_degraded,baseline,wifi_only,10,2.185410353088048,0.3476980765210868,1.936682132855972,2.434138573320124,1.5762188373720498,0.2018985338429355,4.786784230046121,1.0829120795364005,4.012115595390703,5.561452864701539,0.395,0.0552268050859363,2.9935661672663416,0.4962915987943555,0.311,0.0572421755934089
