scenario,method_family,method_label,n_seeds,mean_error_m_mean,mean_error_m_std,mean_error_m_ci95_low,mean_error_m_ci95_high,median_error_m_mean,median_error_m_std,p90_error_m_mean,p90_error_m_std,p90_error_m_ci95_low,p90_error_m_ci95_high,zone_accuracy_mean,zone_accuracy_std,failure_rate_mean,failure_rate_std,trajectory_smoothness_m_per_step_mean,trajectory_smoothness_m_per_step_std
s1_clean,kalman_tracking,kalman_static_fusion,10,0.37582191041357293,0.030590916055401752,0.3539384873533724,0.39770533347377346,0.33245698863407896,0.029817538665997356,0.6760733215445165,0.09008354176275181,0.6116314378302352,0.7405152052587978,0.9730000000000001,0.015670212364724226,0.0,0.0,0.34836345815485603,0.02826620899376037
s1_clean,kalman_tracking,kalman_static_fusion_median,10,0.7163816777823571,0.04660143480094806,0.6830450195693571,0.749718335995357,0.7164388341143156,0.05057192105960747,1.1128437919284726,0.07719746474853295,1.0576200523971826,1.1680675314597626,0.8400000000000001,0.03800584750330459,0.0,0.0,0.3244204989101583,0.03243114767853882
s1_clean,kalman_tracking,kalman_vlp_only,10,0.37503958587665087,0.03096243980226313,0.35289039073840095,0.3971887810149008,0.3313329011599834,0.029654701659650493,0.6743400539087222,0.09232677214335336,0.6082934598499944,0.74038664796745,0.9730000000000001,0.015670212364724226,0.0,0.0,0.3484319225804531,0.028379037726704553
s1_clean,kalman_tracking,kalman_wifi_only,10,1.0056454676538347,0.1281218907148629,0.9139925883249387,1.0972983469827307,0.7928822121642172,0.0751081228208024,1.9940720722654994,0.43499583847572126,1.6828947951433926,2.3052493493876063,0.6360000000000001,0.07974960814950754,0.099,0.0404007700696685,0.8118136835745663,0.10015781250110284
s2_wifi_degraded,kalman_tracking,kalman_static_fusion,10,0.3812991626128711,0.046665698722663185,0.3479165327596676,0.4146817924660746,0.332334726743574,0.03015879160729998,0.6920407832772305,0.14764323815772165,0.5864231732412328,0.7976583933132282,0.9690000000000001,0.032128215360057305,0.002,0.006324555320336759,0.3602695597694147,0.03358369780093593
s2_wifi_degraded,kalman_tracking,kalman_static_fusion_median,10,0.7172326095627277,0.05331776631707099,0.679091377216881,0.7553738419085745,0.7131105139042596,0.05569662229068996,1.0879444950050057,0.09086417734260385,1.0229441782376307,1.1529448117723806,0.8379999999999999,0.06250333324444919,0.001,0.00316227766016838,0.3269496358584109,0.033252997375011986
s2_wifi_degraded,kalman_tracking,kalman_vlp_only,10,0.3681918647573978,0.03343864618141111,0.34427129828521574,0.39211243122957984,0.32910799661532975,0.028470380233780325,0.6594706642743772,0.09967590827743746,0.5881668149292137,0.7307745136195406,0.977,0.022135943621178645,0.0,0.0,0.3545383136477297,0.03163262677904341
s2_wifi_degraded,kalman_tracking,kalman_wifi_only,10,1.577876118045897,0.31508852134086357,1.352475368312625,1.8032768677791688,1.2763258292939865,0.2637251722700446,3.1850227275086698,0.6845233155581011,2.6953442464262456,3.674701208591094,0.414,0.07791733511299723,0.26999999999999996,0.1050925518028963,1.175180328185597,0.19405575225320187
s3_vlp_blocked,kalman_tracking,kalman_static_fusion,10,0.8137876736427812,0.07185449631673013,0.7623860634775645,0.8651892838079978,0.5377160768161804,0.09252382522938823,1.8494880422708277,0.1984870294094254,1.707498975037193,1.9914771095044626,0.7240000000000001,0.057580861017837826,0.089,0.024244128727957576,0.6526890743106067,0.06576618429578039
s3_vlp_blocked,kalman_tracking,kalman_static_fusion_median,10,0.9418393554810237,0.09967477109044288,0.8705363196304302,1.013142391331617,0.8062070976688289,0.06565171793270783,1.6219387979117816,0.290888081607224,1.4138499998694956,1.8300275959540677,0.667,0.08367264254887084,0.06599999999999999,0.03169297153067924,0.45915942826392087,0.04177697913843774
