seed,scenario,method_family,method_label,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step
104,s3_vlp_blocked,baseline,wifi_only,1.4854834072793108,1.0147789176047453,2.939789222728657,0.49,0.21,2.214346400235757
104,s3_vlp_blocked,dsp_static,static_fusion_ema,0.9572498997163814,0.7244683648457932,2.059855606023383,0.71,0.11,0.6210634482246321
104,s3_vlp_blocked,dsp_static,static_fusion_median,0.976016201635107,0.7319019962310922,1.905656163298727,0.68,0.1,0.5878129828963429
104,s3_vlp_blocked,dsp_static,static_fusion_moving_average,1.0137584576065224,0.7762959809068122,2.0649374368243527,0.67,0.11,0.4030252013799158
104,s3_vlp_blocked,dsp_static,static_fusion_raw,0.9705243034658244,0.5053313303777747,2.8788129279605443,0.75,0.12,1.2345653580590057
104,s3_vlp_blocked,gsp_expected,graph_diffusion_1,0.9840981666059218,0.7760736173061455,2.068642067692911,0.65,0.11,1.1565991826505124
104,s3_vlp_blocked,gsp_expected,graph_diffusion_3,1.0168825411302196,0.7848990512186806,2.0457483884108054,0.62,0.11,1.127989487042453
104,s3_vlp_blocked,gsp_expected,laplacian,0.9910876338703076,0.7768181982830953,2.117379004655208,0.65,0.11,1.1523126195288576
104,s3_vlp_blocked,gsp_expected,static_raw,0.9709185479616292,0.7522131858369425,2.11197953604145,0.65,0.11,1.1724595500141874
104,s4_mixed_dynamic,adaptive,adaptive_fusion,0.5852724685255756,0.4379599946095381,1.245476729497838,0.88,0.02,0.587945764908858
104,s4_mixed_dynamic,baseline,static_fusion,0.8553146014498414,0.4473096722162955,2.015821835786465,0.82,0.1,1.0906494266716975
104,s4_mixed_dynamic,baseline,vlp_only,0.8553146014498414,0.4473096722162955,2.015821835786465,0.82,0.1,1.0906494266716975
104,s4_mixed_dynamic,baseline,wifi_only,1.7643165702026806,1.0869889007563178,4.64636315778426,0.46,0.21,2.243147704841105
104,s4_mixed_dynamic,dsp_static,static_fusion_ema,0.7306720973277807,0.6407851853423082,1.2000694151230835,0.81,0.03,0.4408180436847217
104,s4_mixed_dynamic,dsp_static,static_fusion_median,0.7804384256051499,0.6722439816639894,1.2539392893840178,0.78,0.03,0.4600987522877227
104,s4_mixed_dynamic,dsp_static,static_fusion_moving_average,0.7625171858301859,0.7155840581616,1.2000694151230835,0.79,0.03,0.2953802089608008
104,s4_mixed_dynamic,dsp_static,static_fusion_raw,0.8553146014498414,0.4473096722162955,2.015821835786465,0.82,0.1,1.0906494266716975
104,s4_mixed_dynamic,gsp_expected,graph_diffusion_1,1.147602960736564,0.8783271492206581,2.720419176456867,0.63,0.16,1.3840417141584056
104,s4_mixed_dynamic,gsp_expected,graph_diffusion_3,1.1656524697025894,0.8962757288423076,2.7736609370583327,0.59,0.15,1.341142597710744
104,s4_mixed_dynamic,gsp_expected,laplacian,1.1533141283094392,0.8697354754010362,2.7056655826406018,0.61,0.16,1.38117602443841
104,s4_mixed_dynamic,gsp_expected,static_raw,1.1432076127198765,0.8362114191570791,2.6893623302668046,0.62,0.16,1.408633092003124
105,s1_clean,adaptive,adaptive_fusion,0.4437896341909658,0.353567995270397,0.7545867816943568,0.93,0.02,0.452382267211963
105,s1_clean,baseline,static_fusion,0.4437896341909658,0.353567995270397,0.7545867816943568,0.93,0.02,0.452382267211963
105,s1_clean,baseline,vlp_only,0.4437896341909658,0.353567995270397,0.7545867816943568,0.93,0.02,0.452382267211963
105,s1_clean,baseline,wifi_only,1.5318270386290878,0.9676761022079906,3.2166959727700184,0.52,0.24,2.345839116394846
105,s1_clean,dsp_static,static_fusion_ema,0.6312299646262548,0.6089210038999504,1.039074113642194,0.89,0.01,0.396026572989666
105,s1_clean,dsp_static,static_fusion_median,0.6768205544739506,0.6321764811393717,1.108157038285213,0.84,0.02,0.393575656958158
105,s1_clean,dsp_static,static_fusion_moving_average,0.687682695201609,0.6446856188300416,1.1080178384952424,0.84,0.02,0.3817415875111498
105,s1_clean,dsp_static,static_fusion_raw,0.4437896341909658,0.353567995270397,0.7545867816943568,0.93,0.02,0.452382267211963
105,s1_clean,gsp_expected,graph_diffusion_1,0.7553432192051011,0.6410887835306708,1.4013573856994113,0.75,0.06,0.9388292171403884
105,s1_clean,gsp_expected,graph_diffusion_3,0.7662492685801493,0.6477039207269155,1.402798543009587,0.77,0.06,0.9147942707214798
105,s1_clean,gsp_expected,laplacian,0.761494191922203,0.6425348313837896,1.4223872211830018,0.75,0.06,0.9369032275731408
105,s1_clean,gsp_expected,static_raw,0.7533534407705713,0.6464372285045901,1.39893965047487,0.76,0.06,0.9520959986936904
105,s2_wifi_degraded,adaptive,adaptive_fusion,0.4373248074117317,0.353567995270397,0.7553605502779052,0.94,0.01,0.4297957219846924
105,s2_wifi_degraded,baseline,static_fusion,0.4373248074117317,0.353567995270397,0.7553605502779052,0.94,0.01,0.4297957219846924
105,s2_wifi_degraded,baseline,vlp_only,0.4373248074117317,0.353567995270397,0.7553605502779052,0.94,0.01,0.4297957219846924
105,s2_wifi_degraded,baseline,wifi_only,2.217113827789529,1.4569958475764255,5.4517161902882885,0.31,0.4,2.830530161731492
105,s2_wifi_degraded,dsp_static,static_fusion_ema,0.6464139966652208,0.6155123322657038,1.0779132008188548,0.87,0.01,0.3758245527876457
105,s2_wifi_degraded,dsp_static,static_fusion_median,0.6700844259661703,0.6321764811393717,1.122767846362749,0.83,0.01,0.3976932413294065
105,s2_wifi_degraded,dsp_static,static_fusion_moving_average,0.6963193983435026,0.6446856188300416,1.1080178384952424,0.84,0.03,0.4001441573609143
105,s2_wifi_degraded,dsp_static,static_fusion_raw,0.4373248074117317,0.353567995270397,0.7553605502779052,0.94,0.01,0.4297957219846924
105,s2_wifi_degraded,gsp_expected,graph_diffusion_1,1.061114747996625,0.7687948015700006,2.309215007533351,0.54,0.13,1.4000126581701329
105,s2_wifi_degraded,gsp_expected,graph_diffusion_3,1.0578373600619413,0.7775084326040801,2.1997605687524944,0.56,0.14,1.35888821330536
105,s2_wifi_degraded,gsp_expected,laplacian,1.0666421903038723,0.764743495609819,2.34911179676082,0.54,0.13,1.4024114512767052
105,s2_wifi_degraded,gsp_expected,static_raw,1.0663042119199286,0.7850682664976355,2.384883912387093,0.56,0.13,1.4242233745547097
105,s3_vlp_blocked,adaptive,adaptive_fusion,0.7405634093967872,0.4981926419173643,1.8748007087843943,0.79,0.07,0.7439092466130848
105,s3_vlp_blocked,baseline,static_fusion,1.043055168681014,0.5280714247528743,2.698797420625102,0.7,0.21,1.4215619357137004
105,s3_vlp_blocked,baseline,vlp_only,1.043055168681014,0.5280714247528743,2.698797420625102,0.7,0.21,1.4215619357137004
105,s3_vlp_blocked,baseline,wifi_only,1.494204646977188,1.0893256394552746,3.3901969072505764,0.46,0.25,2.098783241931102
105,s3_vlp_blocked,dsp_static,static_fusion_ema,1.0912207063541155,0.8605916939427183,2.310613939058476,0.6,0.16,0.6402502657661641
105,s3_vlp_blocked,dsp_static,static_fusion_median,0.8813685120210321,0.662592594298197,1.8748007087843943,0.74,0.07,0.6057054353283611
105,s3_vlp_blocked,dsp_static,static_fusion_moving_average,1.0386036173062203,0.8610260278254422,2.2728834249979126,0.6,0.14,0.4963852083205146
105,s3_vlp_blocked,dsp_static,static_fusion_raw,1.043055168681014,0.5280714247528743,2.698797420625102,0.7,0.21,1.4215619357137004
105,s3_vlp_blocked,gsp_expected,graph_diffusion_1,0.9521462274208896,0.7319534239549541,1.883164562334788,0.65,0.08,1.228873866166039
