seed,scenario,method_label,method_family,source_method,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step,recovery_time_steps,max_error_m,mean_velocity_error_m_per_step,notes
101,s1_clean,kalman_wifi_only,kalman_tracking,wifi_only,0.7469598927427796,0.6885699030535009,1.2393990169665878,0.78,0.03,0.642659607087349,0.0,2.0963505138233205,0.621059093661322,fixed Q/R; held-out seeds not used for tuning
101,s1_clean,kalman_vlp_only,kalman_tracking,vlp_only,0.35019695306856014,0.3171914604033089,0.6584936511723137,0.98,0.0,0.36905153074671754,0.0,1.3756463893957358,0.27886399065425715,fixed Q/R; held-out seeds not used for tuning
101,s1_clean,kalman_static_fusion,kalman_tracking,static_fusion,0.35019695306856014,0.3171914604033089,0.6584936511723137,0.98,0.0,0.36905153074671754,0.0,1.3756463893957358,0.27886399065425715,fixed Q/R; held-out seeds not used for tuning
101,s1_clean,kalman_static_fusion_median,kalman_tracking,static_fusion,0.6783056574972933,0.6907565571462073,1.0565162419692973,0.87,0.0,0.34307655876326126,0.0,1.4851217731154123,0.3147264142424103,fixed Q/R; held-out seeds not used for tuning
101,s2_wifi_degraded,kalman_wifi_only,kalman_tracking,wifi_only,1.301144946605292,1.080808554855658,2.651040317780554,0.48,0.2,1.0529919733198363,0.0,4.89859704964764,1.0146246959737752,fixed Q/R; held-out seeds not used for tuning
101,s2_wifi_degraded,kalman_vlp_only,kalman_tracking,vlp_only,0.34264042512677323,0.3255496905858262,0.581351706554017,0.99,0.0,0.3674185384963293,0.0,1.023088597255003,0.29398112234266593,fixed Q/R; held-out seeds not used for tuning
101,s2_wifi_degraded,kalman_static_fusion,kalman_tracking,static_fusion,0.34379281532530004,0.3255496905858262,0.581351706554017,0.99,0.0,0.3707109576577643,0.0,1.023088597255003,0.29447888934742117,fixed Q/R; held-out seeds not used for tuning
101,s2_wifi_degraded,kalman_static_fusion_median,kalman_tracking,static_fusion,0.7080266626202867,0.7335147161786915,1.0534975395451505,0.87,0.0,0.34388583465093353,0.0,1.4851217731154123,0.3252189671101373,fixed Q/R; held-out seeds not used for tuning
101,s3_vlp_blocked,kalman_wifi_only,kalman_tracking,wifi_only,0.7702187419074608,0.7218104059090231,1.2868396888731284,0.74,0.02,0.664825900606279,0.0,2.4671860652583475,0.6445932959203791,fixed Q/R; held-out seeds not used for tuning
101,s3_vlp_blocked,kalman_vlp_only,kalman_tracking,vlp_only,0.7971649719352913,0.5298140870143053,1.7585537114504417,0.75,0.09,0.6845917684172068,0.3333333333333333,2.9760298741602242,0.6403487637315256,fixed Q/R; held-out seeds not used for tuning
