t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity
0,s2_wifi_degraded,2.2799291600344294,5.687548118721819,False,False,False,-51.80831780175915,-55.10432415677157,-61.68933993028016,-60.09625814080229,-56.114422089491896,-53.90549271242168,0.05742183191583934,0.05657269661479915,0.01977895049181971,0.01987391134391324,0.10628351917431404,0.10609185772390912,0.025017850095930435,0.023771803550765018
1,s2_wifi_degraded,2.311993742915821,5.314965509108,False,False,False,-55.04406431402066,-54.39192030839843,-56.15845117491067,-59.819088762928615,-53.978573817088275,-54.49981204829351,0.06654738937379938,0.06628514518136083,0.02304851720848922,0.02112270938813125,0.08776802813394234,0.0884427419308305,0.019807600212555475,0.022955352203762536
2,s2_wifi_degraded,2.4844149891244345,4.892233443738157,False,False,False,-52.75143162656815,-53.63311171151667,-58.50040493213604,-59.36484049456638,-57.0763857349671,-55.020761945485894,0.078644797239646,0.07936714432957692,0.023344244826703286,0.023371752900767425,0.07163906004406016,0.0719793634306059,0.0219049823622992,0.022686081516043476
3,s2_wifi_degraded,2.842745217514855,4.547438345307587,False,False,False,-54.319689669787124,-53.23935311972469,-61.1333510448071,-58.73583670833875,-55.073113150623165,-55.27674083357637,0.09074424663180397,0.0892884118736903,0.027170972694441003,0.026963830356793648,0.06012124613032654,0.0601308393628788,0.023452758017087835,0.02351974992287213
4,s2_wifi_degraded,2.9864127708382706,4.543611784897228,False,False,False,-53.695929001902094,-53.39319773748884,-58.80138903926614,-58.56482085135826,-54.988869841249034,-55.16516038100693,0.08824800631965096,0.08738989150348456,0.02527797741715071,0.028085140134134674,0.058051033413080856,0.059102948516354385,0.025005205564839237,0.02434116001387761
5,s2_wifi_degraded,3.340887948111646,4.334249547684212,False,False,False,-52.868847116827276,-53.42031875011332,-57.925262668358684,-57.9839882012587,-52.84254876225772,-55.285091407625245,0.08856220107597415,0.08891495922713194,0.031346294163671816,0.032096498958200305,0.05258849912526442,0.05198665205598767,0.023744935787484243,0.02554601314644988
6,s2_wifi_degraded,3.68623544692832,4.015886165396863,False,False,False,-52.16110548271829,-53.33741247360362,-57.578707593875826,-57.29285071514495,-53.75639636425408,-55.66783384918969,0.09152715929278092,0.09168266746389048,0.03692078164578782,0.03749199313799431,0.04590260854448979,0.0440207631280602,0.026173631581551136,0.025986359257793475
7,s2_wifi_degraded,4.1188059230374,3.834922193216244,False,False,False,-52.092944858084145,-53.74487693519134,-57.508443694021565,-56.536129229010726,-55.58001463209294,-55.82475445136692,0.08433534216515653,0.08434350143027529,0.0438245341597543,0.044581941257607845,0.03807306368348658,0.03870386683120817,0.02696798813108464,0.02746382008375256
8,s2_wifi_degraded,4.374208764323148,3.616554373320941,False,False,False,-53.19075859011716,-53.86908351635187,-57.394053881831255,-55.960239200729845,-54.174172336094635,-56.1474478638732,0.08060057753863689,0.08163188473198355,0.050602924081998735,0.05060828597286462,0.03451520060259912,0.03466028763553406,0.026990972758005827,0.027502025928875073
9,s2_wifi_degraded,4.8310090365174965,3.516701129989274,False,False,False,-54.80407567615767,-54.54678089601196,-53.49777660765471,-55.12510740923521,-53.35440756156913,-56.26345757823553,0.06946896014827678,0.06985682049816294,0.06017142138525189,0.06118870297979299,0.03190500411632256,0.031138503796998947,0.02848284961396349,0.02928903290336587
10,s2_wifi_degraded,5.174686225206629,3.48599608085182,True,False,False,-60.6045252565101,-55.103687907835706,-65.87862874306872,-54.50172788924818,-64.459700533155,-56.31706783147199,0.061793803463274344,0.06139935146182422,0.06945550259613896,0.0704692718300977,0.030298799069341954,0.029023478359754894,0.03222637299299055,0.03090365758320274
11,s2_wifi_degraded,5.555495990836912,3.59907830663822,True,False,False,-58.881668982935025,-55.834006062152625,-49.520739714649075,-53.96972921263948,-56.83584833992393,-56.16456420266104,0.05241340131422605,0.05208712274850915,0.07959889245138506,0.07979157622219414,0.027285394568327917,0.027770323380647045,0.03396760980133557,0.034078851835998826
12,s2_wifi_degraded,5.685559404770427,3.675092014689703,True,False,False,-58.853851854186516,-56.104560135594184,-56.4748188357334,-53.84544034402706,-53.34483991993412,-56.05740227283985,0.048601269683133545,0.04904537738127728,0.0832542862438034,0.0822194750902513,0.02762572379516278,0.027557184652237846,0.035927693096435044,0.03563605902808789
13,s2_wifi_degraded,5.990806032590996,3.622242725158004,True,False,False,-59.422449432786735,-56.52433942851141,-53.83680955214203,-53.22479493284894,-52.827362425522146,-56.23269779999972,0.04481864983610649,0.04432976973511613,0.09243364328379855,0.09373360958284584,0.025915639630835194,0.025581145068912705,0.03617081575530311,0.036762517490638934
14,s2_wifi_degraded,6.191913166972428,3.379354108194402,True,False,False,-66.79201796758404,-56.64792637623873,-55.63822454286026,-52.450160757754205,-52.13159351002617,-56.70543610889764,0.04285343517467574,0.042598955900750385,0.1083661149202425,0.10902990287696546,0.02201111851267795,0.023297801762807446,0.03476053407453554,0.03494115469769169
