t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity
0,s4_mixed_dynamic,6.1055626688123565,8.931678203850066,False,False,True,-58.84707648746522,-61.44212456873943,-64.00707492114844,-60.38326695527631,-39.14888253799368,-40.977043661348986,0.015606259623166722,0.014512986082588575,0.01898103818368416,0.01797363269120391,0.04825745669048695,0.04603273946289546,0.12052848778202867,0.1182464000600222
1,s4_mixed_dynamic,6.320554771122484,9.075343533082185,False,False,True,-62.64790090249642,-61.67992272512559,-59.16303611568633,-60.456503932781374,-42.46236946647204,-42.67216687551535,0.013694987503920097,0.013749923068228791,0.018044907232832728,0.01758055601005238,0.042097901773597485,0.04197525960295465,0.12587326052629838,0.1253619828674846
2,s4_mixed_dynamic,6.58026211240472,9.446929430621816,False,False,True,-61.821441764316276,-62.117493723249076,-58.07168833932391,-60.76414599988776,-45.85584195709327,-44.73964481683798,0.012629513401197008,0.012432312436096838,0.017752812194655278,0.016267459518948535,0.03729331455799864,0.03693798059739203,0.1251730858869053,0.12331580747418978
3,s4_mixed_dynamic,6.690486996140005,9.773722821152626,False,False,True,-62.763824274449895,-62.42743715663006,-61.17339956247787,-61.07009832127243,-46.754057627767345,-45.92485468426778,0.010475287356823447,0.011569864630437006,0.015993393070810543,0.015118165667488661,0.034498444243144195,0.03430912968966424,0.11279871339867,0.112855137367999
4,s4_mixed_dynamic,6.648930003357536,9.453988556211296,False,False,True,-57.686667717763086,-62.15881717995184,-60.947564960358804,-60.75123993065357,-45.73624043546674,-45.127508315979185,0.011665035797416385,0.01231914030324932,0.01691688640213419,0.016290004955165867,0.03597709265577738,0.0360664060323944,0.12507782352830318,0.1259529464938366
5,s4_mixed_dynamic,6.503414861243288,9.34880509424309,False,False,True,-62.54435498457494,-61.9995280636318,-63.56136949275753,-60.68489241050824,-47.62903247194439,-44.14620136579734,0.013460323721988823,0.012773727940501287,0.01739763397511222,0.016598969597616572,0.03887975894923818,0.0383141460126734,0.12471476334722231,0.12408422338070421
6,s4_mixed_dynamic,6.309679632446698,9.224501326679391,False,False,True,-65.54236728686864,-61.796771594500626,-60.14622926484506,-60.61803987167855,-40.30400613745371,-42.71598215213321,0.014155958427089064,0.013374927940859642,0.016780779672927428,0.01693462826734811,0.04160767902111894,0.04154076002700366,0.11910893100795518,0.11966608694838358
7,s4_mixed_dynamic,6.06460409098813,9.084291660062746,False,False,True,-59.00019318879078,-61.54976956582568,-60.86065602796154,-60.55976168788711,-38.692966692987106,-40.62799354145278,0.01566947538791431,0.01414263231664348,0.017724591840339463,0.017261335303937142,0.044120240500924286,0.046089969383375076,0.11249887898579879,0.11208945617220575
8,s4_mixed_dynamic,5.726062604387588,9.046898224684307,False,False,True,-63.26972113702386,-61.33955458498227,-59.94707383873168,-60.6555961580599,-39.1285790469673,-36.96131963427428,0.014259568561370362,0.014805532925534513,0.016807502500921404,0.016998255643088926,0.054080082309624064,0.0526883203176617,0.09736667714640662,0.0974014541497558
9,s4_mixed_dynamic,5.334545965818324,9.091415993613808,False,False,True,-64.31678575705918,-61.18179640074638,-60.80106497708921,-60.86824458064132,-30.798272702907138,-29.882043694886306,0.016453556730265124,0.015288795191088226,0.015706322778176195,0.016288548110720853,0.0596341079654674,0.06131062871701419,0.08168706828234133,0.08132835833163893
10,s4_mixed_dynamic,4.945823765007514,9.252578001847564,True,False,True,-67.88874426739359,-61.14852831634002,-56.76100706211074,-61.197763146841794,-33.09199555516751,-27.06758330658122,0.016432247913213318,0.015319151857987587,0.015499416610905453,0.01516808970296183,0.06859235224550898,0.07019105645038674,0.06680902190481504,0.0671278613655222
11,s4_mixed_dynamic,4.721675127324938,9.340170350002357,True,False,True,-65.82238869645595,-61.13335965459703,-63.67561027398264,-61.38183940139169,-32.02140027493782,-32.14559866048399,0.016278507286462227,0.015317309649485121,0.01588294129856916,0.014571839698688659,0.07548530432203007,0.07573708046748305,0.06015095690529634,0.060446808770479886
12,s4_mixed_dynamic,4.340963373281298,9.42272693147179,True,False,True,-55.58966322869339,-61.05802872544017,-55.87683978101059,-61.635245584088395,-36.530396039656615,-37.66227823422284,0.015738979460481015,0.015485393224437895,0.013032230833156324,0.013795877059909466,0.08703324614641424,0.08692431109226498,0.05439204909840616,0.051512667001079884
13,s4_mixed_dynamic,4.095436566930193,9.473710426329454,True,False,True,-67.76400085265756,-61.0160171565945,-68.3377257579141,-61.797937458386855,-47.89052942792208,-40.19946250019202,0.01430245493728581,0.015564880177857189,0.011920769559303964,0.013315231163034165,0.09444565826295644,0.09467297129381069,0.04549811273381651,0.04669092535255562
