t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity
0,s2_wifi_degraded,7.708518498956285,6.537185189018777,False,False,False,-59.96595370435352,-60.667822688184984,-57.34905292836257,-56.605418087900404,-54.64482764708609,-52.3986979452754,0.018124316486261317,0.017490702369103276,0.03886693870518706,0.04053340188833945,0.02588798298874881,0.025821771003836497,0.15839454934315217,0.1606480249157306
1,s2_wifi_degraded,7.762228944549189,6.781375783910273,False,False,False,-59.962612145372745,-60.88308361484913,-56.8983484812221,-56.97879139879119,-53.4434464326903,-52.0859191748484,0.01745965687128074,0.016648675886530236,0.03680021035573323,0.03714973907862571,0.02641277092631516,0.02584758937583149,0.180471473210791,0.18045394817037955
2,s2_wifi_degraded,7.839130958677583,7.167874595498286,False,False,False,-61.58004421878047,-61.21327758263732,-58.09129171043374,-57.54928144000964,-50.493503182384764,-51.633217664900165,0.014288756343293766,0.015431532421671081,0.03375477267494646,0.032538518538397496,0.02699012690082213,0.025781247172797492,0.21204912819984245,0.21194022312861782
3,s2_wifi_degraded,7.94346543019908,7.5103051184045535,False,False,False,-59.56469669140511,-61.528187912439435,-60.36112254092159,-58.02341894955954,-51.26030086820779,-51.40431374887509,0.014284779246848333,0.014349622622335748,0.0296160992086491,0.029097969925569688,0.02481460531572674,0.025275130923030017,0.23488759129299092,0.23568245386425643
4,s2_wifi_degraded,7.999186140694022,7.623886621271602,False,False,False,-61.17873070784062,-61.64634597445115,-61.901672746583316,-58.17231546192099,-51.73339730705149,-51.406782660282836,0.017066492741350307,0.01396290487468568,0.027649426493091378,0.028067731957353726,0.026212519352327282,0.024917960341380514,0.24154820074355218,0.2414606280215374
5,s2_wifi_degraded,8.226562675373907,7.955827377167044,False,False,False,-63.891134361232915,-62.02889796628993,-55.88642114249199,-58.59037627578381,-51.57606779120143,-51.668092952353916,0.01039399013825209,0.012780865511121368,0.025264344053897096,0.025301588359586798,0.022380785676799957,0.023379762596250974,0.2472265435422051,0.2461538461538462
6,s2_wifi_degraded,8.280648608306477,8.135508799595996,False,False,False,-63.95346405037876,-62.183843596935304,-60.73945457110087,-58.82365598915953,-53.31939040626391,-51.67182869554949,0.012680627344045448,0.012331822433002891,0.023887243355176547,0.02396746261376562,0.02196505663589001,0.023007065003926762,0.2456174856118751,0.24407351216640608
7,s2_wifi_degraded,8.426531854440203,8.334139776009467,False,False,False,-64.79975105735998,-62.40919182942127,-58.98965590645482,-59.06680078400515,-48.913960399258094,-51.943881066322064,0.01089530985833696,0.011706635683724773,0.022709066458051333,0.022571704372728332,0.022485981859033857,0.022020630171544868,0.2319565080182905,0.23290593782213168
8,s2_wifi_degraded,8.640813839766498,8.694587576233882,False,False,False,-65.0207768430556,-62.77402205256567,-59.021392495326964,-59.50647618201231,-52.78681783250624,-52.37986526323718,0.011116170913647796,0.010762187680812026,0.020977454493111065,0.020313582729502,0.0194536848910411,0.02058339078190857,0.203112460329691,0.2043696571382032
9,s2_wifi_degraded,8.773434572913224,8.991156753090223,False,False,False,-59.001991365200446,-63.03860093668056,-60.16111947156282,-59.8612508744272,-53.13249244695071,-52.68823637048264,0.009444102355555343,0.01012599895328269,0.017613844031853676,0.01870051127615193,0.020033387958186353,0.019661117973185312,0.1799131664121724,0.17919243442355032
10,s2_wifi_degraded,8.969081214365445,9.315966535180728,True,False,False,-62.37095202387007,-63.35019591295001,-56.7736428250746,-60.23814616370892,-57.48479179281928,-53.20135880828804,0.010029291296439915,0.00942582943475739,0.015521320539738662,0.017104986289587922,0.018494871714510093,0.01841625344030993,0.15106940263513438,0.149905117816103
11,s2_wifi_degraded,9.158262661443551,9.76651178862036,True,False,False,-57.971159447100256,-63.722339768869844,-54.31132925068526,-60.743746781846106,-51.11984487145511,-53.77569228424154,0.00853051729083406,0.008653556033087711,0.014119345289129708,0.015229908160319898,0.018049376219501513,0.017134645761531418,0.12058743062138744,0.11817346890504779
12,s2_wifi_degraded,9.226935916965898,9.928675601070118,True,False,False,-57.64298593118473,-63.85359296589016,-61.51307060320503,-60.920400075026166,-58.13953324620114,-53.99776904810691,0.00665856652135082,0.008396834426223838,0.014150232445311097,0.01462645456769112,0.019719643652045427,0.016681014473701485,0.10858105726090098,0.10839918842331432
13,s2_wifi_degraded,9.28457534064934,9.54739973958025,True,False,False,-75.82580527456062,-63.664806419424764,-61.7301849907771,-60.50564086039868,-50.69746739024996,-53.979319414631874,0.006825293762370785,0.008769754254496043,0.019044113098065196,0.015971028137202914,0.01798767566811707,0.016818174919954867,0.1238136830673565,0.12430730129496867
14,s2_wifi_degraded,9.55154708556551,9.187880405968292,True,False,False,-62.2074856964524,-63.613217500154576,-60.36134012306934,-60.11140076316041,-58.85718444280735,-54.48763190268335,0.008500571476105565,0.008873784672809542,0.016962927276285955,0.017219729037291416,0.01504625784636779,0.016016163962559594,0.1294289911186847,0.12790409088030538
15,s2_wifi_degraded,9.66616567574389,8.964158259736895,True,False,False,-66.18041585295134,-63.55699060135446,-53.293186266824925,-59.85838526367252,-55.772525862215204,-54.71740525569113,0.00947373227942524,0.00898718097344429,0.01694728878395128,0.018091162273744917,0.01597037660278874,0.015698661722227572,0.1296843798117373,0.12977390826687615
16,s2_wifi_degraded,9.783739284953958,8.603729760291959,True,False,False,-68.74293252202142,-63.43263740872185,-67.95256795732386,-59.433072709784426,-65.2351176503147,-54.987554298938626,0.009191345020357539,0.009242499184823928,0.019275979873286386,0.01968853812265516,0.015248604922225543,0.015396201172949384,0.13303490775333265,0.13251675694667883
17,s2_wifi_degraded,9.816728934060924,8.290196131329282,True,False,False,-63.547276001440316,-63.285667059375896,-60.47204141639851,-59.03984853193501,-52.06448238394086,-55.12317892714138,0.010433908148353127,0.009554034978310718,0.022266998755784796,0.021336942342078915,0.01815122848610842,0.015340843233130712,0.1363934553483316,0.1354147883670632
18,s2_wifi_degraded,9.898369940505676,8.170920930516099,True,False,False,-74.24131061140596,-63.275488142508074,-66.10792662109472,-58.89704487418218,-52.86823916169532,-55.316067729770346,0.010592571262036367,0.009572628759177637,0.02077496582853209,0.021889466547887444,0.014266490385814266,0.015057188327189273,0.13405601757703228,0.13100970338944873
