t,x,y
0,2.2799291600344294,5.687548118721819
1,2.3119937429158215,5.314965509108
2,2.4844149891244345,4.892233443738157
3,2.842745217514855,4.547438345307587
4,2.9864127708382706,4.5436117848972275
5,3.340887948111646,4.334249547684212
6,3.68623544692832,4.0158861653968625
7,4.1188059230374,3.834922193216244
8,4.374208764323148,3.616554373320941
9,4.8310090365174965,3.516701129989274
10,5.174686225206629,3.4859960808518196
11,5.555495990836912,3.5990783066382197
12,5.685559404770427,3.6750920146897026
13,5.990806032590996,3.622242725158004
14,6.191913166972428,3.379354108194402
15,6.672474944256793,3.2764536300776967
16,6.8014264877801915,3.2605086161445698
17,7.202662568049404,3.119170050557377
18,7.3554640003433995,3.083507848130031
19,7.503183997832102,2.737386539567276
20,7.571322716061035,2.6347148194743273
21,7.704726986928372,2.4931238219456593
22,7.701196953076577,2.16815646104391
23,7.655329139600928,1.9328868180562264
24,7.602021631114391,1.571641233574267
25,7.496118456242826,1.2679285911263276
26,7.213781174903376,0.8568255662582489
27,6.894230635172876,0.5695446452732373
28,6.483266315091463,0.4768582893029604
29,6.0811254386550395,0.38933301847807483
30,5.9589922669011575,0.2570083151721161
31,5.831232280022617,0.12029106450420363
32,6.000260145054196,0.44971153888476756
33,6.0249012997820826,0.6758579464524104
34,6.061421427145482,0.8183445365055386
35,6.087391277308319,1.2497472486120351
36,6.180286136373961,1.6086370686667928
37,6.291541896900854,2.051340535656898
38,6.306683312213806,2.1964281463317294
39,6.336152382937008,2.471138999750724
40,6.237110360969902,2.800987646488566
41,6.027973420710303,3.09840759283468
42,5.997073023448079,3.2280332057453927
43,5.9773016020803755,3.352058526074975
44,5.902053565295218,3.5870012302182115
45,5.84764723140247,3.748268178695647
46,5.7905916990273125,3.9540421895316378
47,5.615192813296309,4.351568926489183
48,5.49223566932926,4.551447461998359
49,5.414751159852098,4.694331234614093
50,5.284112641295624,4.985426545029498
51,5.241467849997588,5.1463868966731185
52,5.312406077942571,5.4188305034477
53,5.348436338770621,5.638406338643498
54,5.403285630073735,5.921849491887416
55,5.389714633426687,6.253274443829397
56,5.195285542548939,6.456984202180508
57,4.86183044372369,6.506009930366596
58,4.430966043559735,6.658303038540852
59,4.178500405215754,6.923849404304298
60,3.9603945804686163,7.038758843554683
61,3.8174361580295573,7.138548197645917
62,3.501130686893392,7.3175530933939354
63,3.301420995394072,7.433470647673615
64,2.9801326529816508,7.690884577841307
65,2.8255159655061233,7.887436491509548
66,2.7289097443353993,8.069919722795287
67,2.632696225741202,8.126714841624567
68,2.546782184357937,8.26682174955117
69,2.27418996039954,8.37225686434336
70,1.983341499407463,8.675376081434486
71,1.744329000013852,8.930180832821591
72,1.602113947159951,9.055786330292069
73,1.462387084551268,9.271459793115136
74,1.3677759205754576,9.345398044743108
75,1.193435864873341,9.539142135458725
76,1.1505181277596659,9.753199891650475
77,1.0200771388428047,9.32054069697821
78,1.0163167110460578,8.891589654872902
79,0.924713747694749,8.59768007556741
80,0.8587932848384436,8.309492250468066
81,0.81627749478909,8.156860831751935
82,0.7791067822290139,7.720868059364907
83,0.7725832732667287,7.601013716381842
84,0.7627039962883997,7.197470289024447
85,0.7476353326675488,6.81635623556896
86,0.9137967078421534,6.526476621576835
87,0.9814448940362953,6.408314414612691
88,0.9671035937632008,6.25639909336203
89,0.8389880226292726,6.148385963144225
90,0.7861139584550364,6.029557626249291
91,0.5294466000344179,5.720236711904748
92,0.32932479360649947,5.560327763194732
93,0.6891556094303306,5.713873939695236
94,1.0477753389991804,5.908021820551629
95,1.1737333040654978,5.864498848416995
96,1.47036086082882,5.76071034330818
97,1.7389756650697499,5.580146044809712
98,1.9510251970162542,5.5131699721219976
99,2.1646829484831067,5.499706273056468
