t,x,y
0,6.1055626688123565,8.931678203850066
1,6.320554771122484,9.075343533082185
2,6.58026211240472,9.446929430621815
3,6.690486996140005,9.773722821152626
4,6.648930003357536,9.453988556211295
5,6.503414861243288,9.34880509424309
6,6.309679632446698,9.224501326679391
7,6.06460409098813,9.084291660062746
8,5.726062604387588,9.046898224684309
9,5.334545965818324,9.091415993613808
10,4.945823765007514,9.252578001847564
11,4.721675127324938,9.340170350002355
12,4.340963373281298,9.42272693147179
13,4.095436566930193,9.473710426329454
14,3.863209848904428,9.531730849012984
15,3.5206829562936455,9.491058893166894
16,3.165382501834026,9.461587695941777
17,2.9302454770938753,9.456164822050765
18,2.7420797060020465,9.472996628406442
19,2.4198638446847416,9.489528341112424
20,2.0874415206005943,9.43132427410417
21,1.6827551012106006,9.608276410412028
22,1.5666621834216725,9.721824928735593
23,1.8135872918506852,9.442076930062784
24,1.9797748224675469,9.171124941492176
25,2.0026978386863656,9.060785581306895
26,2.0409538218277232,8.768038731768266
27,1.9436475951195882,8.39052055732134
28,1.8229338370506878,7.938503894157455
29,1.5143958915018594,7.638191012939957
30,1.3675026549702816,7.582213936330399
31,1.2429294919367564,7.522606951356906
32,1.1706414409291317,7.446686809586819
33,1.0225794063669398,7.298034493574606
34,0.8405580282052503,7.1660136409604815
35,0.7992402328627707,7.065719351919998
36,0.7671095331979448,6.6194549412444434
37,0.7867269935815102,6.50813786445098
38,0.9039958580667962,6.339426406945286
39,0.9979740023158237,6.187541249202924
40,1.28488954092244,5.782257454541684
41,1.513102962684955,5.518180410148621
42,1.6106044791645622,5.19830615307079
43,1.8972643262832614,4.975906927269721
44,2.2293326606969877,4.76372737768957
45,2.6145006895276834,4.592072450426468
46,2.661129424294631,4.4666167686971745
47,2.6450300380382434,4.183588162907463
48,2.633014421787828,3.6860116411580828
49,2.7923313692644163,3.3743378598159564
50,2.983612121628606,3.11916257556942
51,3.3518181325375282,2.843855854625126
52,3.56862361427012,2.6976043319304277
53,3.943888445431222,2.4514296926551147
54,4.260369316238271,2.2082022988398595
55,4.627569160973635,2.0601141503679012
56,4.961867043427717,1.8308482393743322
57,5.0679788704002044,1.7195475994342533
58,5.335240810429285,1.571560122687008
59,5.651780389210071,1.3727606103935992
60,5.898763386562306,1.2621017401554997
61,6.355551046384767,1.4203122314749552
62,6.594147927702143,1.4206009795225187
63,6.702875767945526,1.3948214383894544
64,6.87517464550481,1.1902703370600811
65,6.892272294025562,1.0122251452148698
66,7.000483248939226,0.9177176630235527
67,7.169623623221895,0.7738996044632837
68,7.492034971191752,0.42710405570519366
69,7.463813289098351,0.1481351742215659
70,7.384046542733699,0.3965845375848609
71,7.274941349103505,0.5328406187982155
72,7.242898641642358,0.6319581293500205
73,6.897766036852761,0.9865854746261178
74,6.819062780162876,1.076859414311629
75,6.720234602821568,1.267398302606882
76,6.503783427177126,1.570279682105651
77,6.358465325036558,1.791120746986019
78,6.122791880845917,1.8813582130943367
79,5.750230255978351,2.1326072148263107
80,5.5146788739226436,2.3890629265144954
81,5.508112152914603,2.4998600146256016
82,5.600226935990087,2.6582213422588112
83,5.738537290833164,2.7591954715188156
84,5.832850971363683,3.0310878411880533
85,5.898467311753344,3.228508652056043
86,5.888626732888142,3.4002710851091935
87,5.651159957112673,3.739006548657096
88,5.511321113022474,3.8790676275290847
89,5.43643528909089,3.953273740011248
90,5.230257776887017,3.9835295593536193
91,4.9776092930395945,4.056000817377593
92,4.723335213676367,4.234008104614395
93,4.5603601875449,4.42721654605225
94,4.376758804931988,4.783397516554166
95,4.278110895822162,4.873116927745965
96,4.12801724847605,5.1242285116157875
97,3.704635602450641,5.262849100858526
98,3.5561357581555817,5.285474381301673
99,3.128664509288299,5.522908615866154
