t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity
0,s1_clean,8.548260044884431,3.875368266732585,False,False,False,-59.544900358281545,-59.959944346774286,-52.59610007920498,-50.20773921264725,-59.51415780432026,-57.48354714968279,0.018660457374525468,0.019842562855383203,0.12902487222739678,0.12791657444446253,0.016555288526626705,0.01565133911268171,0.04758110907513837,0.04691933287849623
1,s1_clean,8.648647791547123,3.682160416153107,False,False,False,-60.601226330597875,-59.99291348200764,-46.40235829692447,-49.507946217599034,-55.851930389823686,-57.80911342468364,0.02125185751685301,0.019594710408206484,0.13745278533367852,0.13792327990041403,0.017241610606176856,0.01495925335863687,0.04451297354907538,0.043356706329455603
2,s1_clean,8.904314502785434,3.314602216855924,False,False,False,-61.954400444805074,-60.14603234762871,-50.08894049682322,-48.02663730984291,-58.058186259415294,-58.450405529686634,0.018797385372323068,0.018727385134420262,0.1517366733956286,0.1527658943021444,0.012773089103976055,0.01358280211473583,0.036933215677861946,0.03735421987192608
3,s1_clean,9.310389003930128,3.04167485894367,False,False,False,-60.44876408255263,-60.51164471724688,-45.58817043512586,-46.92886023214213,-57.85909838806033,-59.06349996168536,0.017596391101603194,0.01708616800035189,0.1492405698196985,0.1470111345577178,0.01179873685081461,0.012191141158091938,0.03418461704522927,0.03300100491294967
4,s1_clean,9.706838327803332,2.8964874698404373,False,False,False,-62.3629331793067,-60.89836836794159,-47.1261478592095,-46.7362919857692,-58.43572018880931,-59.51222929578458,0.01666520693520354,0.015576555259477655,0.13088746387331496,0.1295842558803099,0.012038882472263148,0.011180530133685834,0.030978476535169257,0.03034060003578084
5,s1_clean,9.41844096729231,2.900422758078939,False,False,False,-62.781970206852044,-60.59254891291667,-46.40846242837951,-46.36086926859,-60.99297540982088,-59.29172698279511,0.01646375994025044,0.0167101052736517,0.14584978468132903,0.14656876824559087,0.011182803176169131,0.011759316735311895,0.032656491643821374,0.03123276066390542
6,s1_clean,8.964378339140287,2.9597287260816096,False,False,False,-63.41535367064155,-60.1061677218614,-44.791099216154045,-46.429889216127435,-60.13484008526073,-58.894482852991615,0.01892502171841561,0.018718303520417447,0.17052815705777924,0.17090789392771838,0.012999164669874915,0.012835833512529638,0.03245541775157444,0.03296591709353666
7,s1_clean,8.774353844140126,3.131454780222936,False,False,False,-63.98765265229061,-59.94084711017453,-47.53204135316604,-47.28411719214658,-58.95546862643209,-58.5614028428172,0.019533975489168437,0.01954191411210873,0.1704370998852211,0.17007341299553635,0.013869227909876887,0.013587952990832222,0.03710354729575234,0.03533274702299461
8,s1_clean,8.418152736801511,3.188810020474088,False,False,False,-58.57326701126123,-59.5453008590831,-50.212841451358756,-47.81076534517292,-56.11243675881693,-58.233261349761676,0.021989316243828046,0.02145648609428062,0.1787059974289868,0.1789510292066953,0.014601691416067696,0.014632668747706284,0.037705116724819056,0.03660000487760593
9,s1_clean,8.165062128503568,3.3554638975618585,False,False,False,-59.44001168931014,-59.305086699856744,-47.90839010388252,-48.751110391041394,-59.67663064751035,-57.84189158265693,0.022251161480646205,0.022807475512496837,0.17161985900032797,0.17051670992172935,0.016064809455464426,0.015728288987298094,0.03896452053826844,0.03906408527991318
10,s1_clean,8.047852018915972,3.3896047138916883,False,False,False,-57.85517860376395,-59.177091973580445,-48.28930631768251,-49.02712553487754,-58.718866919440515,-57.71327174169599,0.02180311285834854,0.023525251778616047,0.17017469812386454,0.16854052617551304,0.016886071401667944,0.016172787804104857,0.03839259857127149,0.03959136248739686
11,s1_clean,7.628992597812742,3.5120336380508936,False,False,False,-59.40273637890985,-58.71286328745341,-49.9835301570487,-50.04610792589764,-58.80036491276961,-57.254010441784814,0.02686078563859208,0.026335330712636554,0.15634552538179106,0.15566886344283104,0.019244107612203406,0.01791235136862216,0.04293973935629865,0.04118702902625085
12,s1_clean,7.264240580596287,3.551955010215912,False,False,False,-57.051014162616944,-58.26463459028402,-54.199115064040946,-50.76768291157554,-54.12373572953088,-56.958466975729436,0.030334374912406634,0.02930764220061052,0.14415324495760945,0.14388683244735453,0.0194254621917174,0.019418481295718305,0.042215710559584986,0.041107525269150715
13,s1_clean,6.807654944686304,3.3798711617406227,False,False,False,-55.249536899943216,-57.5495662865208,-50.68195016111844,-51.219488139644284,-59.436180230046574,-56.96470550486567,0.03717286412676551,0.034461855140548524,0.13440980066980496,0.1365051459010926,0.02131139982488319,0.020635943419730702,0.03836731692258145,0.037359048215504634
14,s1_clean,6.644376635151973,3.2678225998295574,False,False,False,-52.64336127473521,-57.25047808339986,-57.063059306460396,-51.319639863917075,-58.47975162860761,-57.06082542106459,0.03592728916803601,0.0367949961809411,0.13208273794130712,0.134316731456694,0.022406344406925252,0.020849084262329447,0.03503375443247415,0.03542178067753688
15,s1_clean,6.164360277507891,3.220123101722137,False,False,False,-54.548547080551934,-56.4964919435467,-49.75799443757633,-52.24226578401606,-55.1848064007886,-56.95225012921035,0.04440230223508715,0.04380086969229492,0.11194979608006023,0.11288881424011553,0.02180749270967046,0.02263000501391919,0.03401617683995837,0.0330941767718135
16,s1_clean,5.921670782647944,3.170353913208966,False,False,False,-53.86017049107762,-56.075374270201806,-53.97665443763793,-52.670643672587595,-57.71596741184154,-56.96207118069519,0.0468136845075689,0.04819455948656876,0.1017932882226589,0.10320790162136342,0.023546022466960217,0.023416471066215024,0.029679390862354004,0.03160063505787668
17,s1_clean,5.679154300480839,2.9818995639648525,False,False,False,-54.25225473674211,-55.53196465389668,-53.79048076726755,-52.922951508238945,-59.52442149888171,-57.208564146042875,0.053793941469755066,0.05405316839884733,0.09496816662331078,0.09661414273383594,0.023135027287165988,0.02340960506729824,0.02854734070852313,0.02892877603233911
18,s1_clean,5.40719635144305,2.7083718362264517,False,False,False,-54.84209191289839,-54.84032413575282,-51.609977532063354,-53.19331592277084,-56.925681193312066,-57.592755792783734,0.06237120681285964,0.062070250276899414,0.08773357422911345,0.08909145182013894,0.023730842116748262,0.022930354578280437,0.026909381978149037,0.025823805621054585
19,s1_clean,5.231798982702207,2.4839699101632213,False,False,False,-49.36447130596481,-54.33760150661524,-49.632959028474716,-53.36372088256689,-53.67919347852558,-57.91366948601427,0.0694568784359981,0.06812568476103324,0.08393480540298041,0.08405364684728377,0.02176740196406857,0.02228605313500746,0.026058105177059882,0.023758880723361013
20,s1_clean,5.28923634607891,2.192766390499288,False,False,False,-50.10303166214978,-54.26819802164718,-53.758567547293914,-52.997908663737356,-57.4069571565017,-58.333971280772396,0.06868770324456396,0.06731180716149796,0.08779460831882782,0.08783179637909683,0.020822346028060698,0.020600276425323534,0.019271883257847733,0.0221866241374316
21,s1_clean,5.38054459804343,2.090291333531373,False,False,False,-53.94399107577476,-54.40075513961495,-50.89547271051823,-52.705084589614074,-60.88669284583095,-58.482582283908656,0.06455580752096077,0.06478263935934697,0.09119143515891126,0.09199886659668445,0.020004355818126228,0.019859893100637297,0.021005146003713098,0.021840640449302045
22,s1_clean,5.395660287878729,1.904575277898607,False,False,False,-53.527398759303594,-54.344674480200766,-51.76175420968155,-52.541964829923096,-59.136269721271375,-58.73635642515739,0.06551363783167803,0.0643516600216744,0.09292999467683782,0.09266388188800738,0.017498386577262496,0.018980838552388406,0.020154925821034748,0.020860805328164186
23,s1_clean,5.346981386445022,1.7399481748937806,False,False,False,-53.29491254330323,-54.17658534374489,-50.81822138006666,-52.57043600568262,-57.09278162795297,-58.951573555033896,0.06707662905822862,0.06548826492085533,0.08980502207211445,0.09004032686497558,0.018495198158996102,0.018385552414533792,0.020022857129573867,0.019909706844654727
24,s1_clean,5.356397214861652,1.3990305548570758,False,False,False,-53.90008211927921,-54.10071778912547,-55.31969718258848,-52.41063807421238,-59.555701320016276,-59.38960904080379,0.06594973898048627,0.06399358410390091,0.09006315338071516,0.08810727973715067,0.01746225068152268,0.016995761291908718,0.01872164163484949,0.018327964268785846
25,s1_clean,5.55511192506875,1.1971395250192285,False,False,False,-53.52768869579829,-54.49591879490744,-51.90645699236443,-51.83347194346426,-56.85320429062014,-59.653702086696484,0.05821058060217593,0.05785896685668224,0.09386209039040977,0.09414367376433108,0.017613425143776777,0.015893770755620353,0.019441409334582493,0.017775758975825565
26,s1_clean,5.644488914276651,1.1264421585125568,False,False,False,-55.48665738630797,-54.6761738279641,-50.85645763765936,-51.57346944127559,-61.392307450847795,-59.7476642741709,0.05738344997261288,0.05541577619105832,0.09629212003976749,0.09697876452048103,0.016070694513329133,0.015497125265880622,0.018902442824541597,0.017607422482824712
27,s1_clean,5.99191614365339,0.7779056103368667,False,False,False,-56.27693920071742,-55.37132706223659,-52.65093891772294,-50.548349810435354,-53.9046519025768,-60.19864133698158,0.04557830717639607,0.04666593109758874,0.1028346097239027,0.10497678706113946,0.012570908502006163,0.013870771759295323,0.015604149643064615,0.01661376617918998
28,s1_clean,6.3719359824611015,0.5133126785859624,False,False,False,-56.21206108138339,-56.10192985359161,-50.07109142815806,-49.39307840288909,-59.24019023176257,-60.555481201257884,0.03787993460553824,0.039488133604888,0.11291120649535916,0.11285622399598803,0.013419079492090558,0.01263195477594205,0.015304831497674531,0.015948688731881523
29,s1_clean,6.642725720701172,0.2610300095402053,False,False,False,-54.06452988014184,-56.61399388594802,-47.91251922811789,-48.640835131543554,-60.552031197663304,-60.878017007306326,0.0338999338800681,0.034990826941682644,0.11314492095512965,0.11278776264756124,0.011213033872417089,0.01170322147577281,0.015635554622460458,0.015212862174761966
30,s1_clean,6.746242668239441,0.1917048919949815,False,False,False,-59.11185639767456,-56.800049660320816,-49.62537798022921,-48.34200394295653,-63.98261731920855,-60.971784741380546,0.03578137331490722,0.033560706376839694,0.1148499103457966,0.11309864839177924,0.01145342659257033,0.011429055764588771,0.015311978303536498,0.01502824258968028
31,s1_clean,6.356442515941112,0.4369455288091974,False,False,False,-54.23317625720726,-56.08777911097681,-49.07904453184687,-49.50010133828143,-60.98081764635216,-60.6362255511594,0.03767118911492717,0.03933642491928356,0.1096898598891384,0.1093563011264137,0.01393325341555988,0.012472189460664553,0.01456572801648245,0.015649189211539554
32,s1_clean,6.090439232524188,0.6864641265250186,False,False,False,-56.6992422380408,-55.56670482528193,-49.675976691364205,-50.25935879093794,-61.56805217515568,-60.31677606862414,0.04459642106361016,0.04452940733363638,0.10805559627722414,0.10670310147254333,0.013460247555005142,0.01347354804087883,0.015150568719733918,0.016357448380302998
33,s1_clean,5.949226125977861,0.8518939098654703,False,False,False,-56.31916488219028,-55.284096688971516,-49.55011175891232,-50.66826623835486,-59.95987073428258,-60.10764487340553,0.0478620628749573,0.04781363868163417,0.10421417247927793,0.10499987263090667,0.013747858878353444,0.01414591072093133,0.01708175636936472,0.01686309526317381
34,s1_clean,5.8095047430555145,1.1091466717902831,False,False,False,-57.05047107334415,-55.008667580863985,-51.347397882000216,-51.09046590496179,-57.366873291865,-59.78674146612841,0.051656935784444316,0.051797513467680814,0.10219264792731628,0.10425474973370415,0.015010027127550903,0.01515239078102774,0.01908231278126183,0.017767629204389172
35,s1_clean,5.579978519259318,1.272432489793561,False,False,False,-53.82863120183491,-54.55586903115223,-52.66117458678002,-51.77885214567872,-57.605475562418505,-59.56377635756127,0.0560512618444231,0.05765150590245556,0.09738101282421942,0.09628477076744929,0.017501055619721748,0.0161091787857652,0.02044096910666776,0.01814333169829313
36,s1_clean,5.338528190625762,1.3036592905789073,False,False,False,-56.875749563255646,-54.044878850150425,-53.35587646418624,-52.43317062233119,-61.922274628474916,-59.50748802984195,0.06119629582361129,0.06397682150179251,0.08699546672927495,0.0864429560514983,0.01669244204583867,0.016670348208530684,0.017441819590332155,0.017881279043120268
37,s1_clean,4.912072310282084,1.4157812756540196,False,False,False,-51.42728789961854,-53.0866113504606,-52.28648059895908,-53.50223637976572,-55.64377873921751,-59.35868074739484,0.07770781819079849,0.07799413645240134,0.07001652816977759,0.07206371561656977,0.01612568368355702,0.017910842970518304,0.01820519028401073,0.017578636475059153
38,s1_clean,4.826303961432351,1.586236364932186,False,False,False,-54.28977145247073,-52.931993109250016,-56.34915979911459,-53.74479019592107,-61.36240043590771,-59.143473749415804,0.08086193329610379,0.08224229046687047,0.06820146852264626,0.07020723192459627,0.017919192700877353,0.018823756873994027,0.018595163753839235,0.01811308380019822
39,s1_clean,4.8018178978276085,1.8759997678234683,False,False,False,-53.48038584287302,-53.00693622288597,-48.88446342672513,-53.910946737782176,-57.46771942940835,-58.763621991810396,0.08507780467134445,0.08427752542144788,0.0686562319904405,0.07020625635332611,0.01974271660830835,0.020261961889918318,0.019036426146525526,0.01933048942569447
40,s1_clean,4.769561461430565,2.1910721381589235,False,False,False,-51.89433815359104,-53.13301276340091,-54.69706931960655,-54.14490690200745,-59.7050475545744,-58.33320078910094,0.08644358417928961,0.08541913149345222,0.06946050727967458,0.06909779561450193,0.022485352179908637,0.022019586443286072,0.020362871289319056,0.02075576900055856
41,s1_clean,4.525918490013359,2.572296491893161,False,False,False,-52.2847281608506,-52.90640096251569,-54.57210026635079,-54.87178239231188,-55.12457460433964,-57.80314586620706,0.0944885956937332,0.09338997441536002,0.061498410099751336,0.06098763766115161,0.02583518700681725,0.025100256958567463,0.02023488304097555,0.021963922727817182
42,s1_clean,4.603145206950584,2.691606464543516,False,False,False,-54.420289994233784,-53.19856979965566,-56.62808854219236,-54.808562232783224,-57.42489208166422,-57.617081936599824,0.08861373241345318,0.08885189119621507,0.06182086129523834,0.06243389036560837,0.025136771580870167,0.02567037748254664,0.023147618206651698,0.022874049047271555
