t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity
10,s3_vlp_blocked,4.945823765007514,9.252578001847564,False,False,False,-64.36804226744255,-61.14852831634002,-63.76988030678474,-61.197763146841794,-24.46637410468305,-27.06758330658122,0.013703267679818741,0.015319151857987587,0.015612047757351644,0.01516808970296183,0.06851446533079958,0.07019105645038674,0.06732932057221176,0.0671278613655222
11,s3_vlp_blocked,4.721675127324938,9.340170350002357,False,False,False,-60.59590738064199,-61.13335965459703,-67.62416194672656,-61.38183940139169,-34.36996663677115,-32.14559866048399,0.014798338054755923,0.015317309649485121,0.013492534526851684,0.014571839698688659,0.07512125683787346,0.07573708046748305,0.059682301638983734,0.060446808770479886
12,s3_vlp_blocked,4.340963373281298,9.42272693147179,False,False,False,-60.97369058559936,-61.05802872544017,-62.317893111405596,-61.635245584088395,-35.86180261898871,-37.66227823422284,0.014940849014385226,0.015485393224437895,0.014031511725254825,0.013795877059909466,0.08664301714934221,0.08692431109226498,0.050608629591878986,0.051512667001079884
13,s3_vlp_blocked,4.095436566930193,9.473710426329454,False,False,False,-63.69276302255502,-61.0160171565945,-60.351879697588544,-61.797937458386855,-39.60778042707085,-40.19946250019202,0.015936176841279546,0.015564880177857189,0.014456913608072932,0.013315231163034165,0.09514419812406918,0.09467297129381069,0.04580535187989332,0.04669092535255562
14,s3_vlp_blocked,3.863209848904428,9.531730849012984,False,False,False,-62.204065415393664,-60.99265112400902,-64.67417258667182,-61.96052277485562,-43.20140750788975,-42.17017574869181,0.015580603456474709,0.01557668294927911,0.012675585781266943,0.012846864979284082,0.10152152582555517,0.10185632817001015,0.0428802988644153,0.04262714114811422
15,s3_vlp_blocked,3.520682956293645,9.491058893166894,False,True,False,-60.660571152481694,-60.84063956967558,-61.54767667517073,-62.10026547911754,-45.40886824760672,-44.24072084455306,0.004422807258940044,0.01601834036039973,0.011716448974362859,0.012471900104568385,0.11741851578622192,0.11715455106341167,0.03858013908063524,0.03804083925899707
16,s3_vlp_blocked,3.165382501834026,9.461587695941777,False,True,False,-58.74206503745376,-60.706977676305954,-63.931700261033996,-62.262167835829736,-45.519699147023914,-46.09122459831619,0.015180340963062804,0.01638446948832583,0.009825820919724103,0.012041110668850696,0.1336779271421931,0.13343376504074322,0.008388556642957052,0.033887087945733384
17,s3_vlp_blocked,2.9302454770938757,9.456164822050765,False,True,False,-60.6729320492341,-60.64046494663124,-62.24666372649305,-62.38305826115771,-43.61990800600689,-47.17680545661582,0.013672587996414505,0.016539929320076755,0.010502543378017792,0.011723768582243884,0.14355116189701012,0.14314808855304498,0.008416041711040588,0.03142398388367124
18,s3_vlp_blocked,2.7420797060020465,9.472996628406442,False,True,False,-59.005474364523906,-60.61461061409754,-63.07800036285564,-62.496539802350334,-47.07037901500266,-47.9867606155627,0.01603342091539644,0.01655728896787286,0.003170919996230026,0.011429694226058542,0.15055778238508793,0.14880063657288847,0.027359851758393772,0.029572285782162172
19,s3_vlp_blocked,2.4198638446847416,9.489528341112424,False,True,False,-60.63569576414867,-60.567233340177445,-60.31193747795231,-62.68303354884898,-50.58993494505562,-49.225082791748974,0.016371731429648925,0.016592189741391622,0.011332438933480689,0.010961191931468982,0.03948573320773988,0.15637264680393606,0.026427936388994037,0.026769021274025764
