t,scenario,true_x,true_y,wifi_degraded,vlp_blocked,mixed_dynamic,wifi_ap1_dbm,wifi_ap1_clean_dbm,wifi_ap2_dbm,wifi_ap2_clean_dbm,wifi_ap3_dbm,wifi_ap3_clean_dbm,vlp_led1_intensity,vlp_led1_clean_intensity,vlp_led2_intensity,vlp_led2_clean_intensity,vlp_led3_intensity,vlp_led3_clean_intensity,vlp_led4_intensity,vlp_led4_clean_intensity
10,s1_clean,5.174686225206629,3.48599608085182,False,False,False,-53.963557973249884,-55.103687907835706,-54.819173550281775,-54.50172788924818,-55.96053658891466,-56.31706783147199,0.06273017951404758,0.06139935146182422,0.07090374860479823,0.0704692718300977,0.029657031172326983,0.029023478359754894,0.03159073912316858,0.03090365758320274
11,s1_clean,5.555495990836912,3.59907830663822,False,False,False,-55.424514214772366,-55.834006062152625,-50.60964315527619,-53.96972921263948,-53.63890392075318,-56.16456420266104,0.04890383027517654,0.05208712274850915,0.0793673586066819,0.07979157622219414,0.026800085781080576,0.027770323380647045,0.03557190556276998,0.034078851835998826
12,s1_clean,5.685559404770427,3.675092014689703,False,False,False,-52.79724275778447,-56.104560135594184,-54.92483154092001,-53.84544034402706,-56.897616350101025,-56.05740227283985,0.048220150830583675,0.04904537738127728,0.08183812759357166,0.0822194750902513,0.02863206882706907,0.027557184652237846,0.034569607101235154,0.03563605902808789
13,s1_clean,5.990806032590996,3.622242725158004,False,False,False,-55.75620073228897,-56.52433942851141,-54.15459624429389,-53.22479493284894,-57.128947503397086,-56.23269779999972,0.045663386939960506,0.04432976973511613,0.09327184862286694,0.09373360958284584,0.02660054300988713,0.025581145068912705,0.036839308231038106,0.036762517490638934
14,s1_clean,6.191913166972428,3.379354108194402,False,False,False,-55.88491460691326,-56.64792637623873,-53.85955070363603,-52.450160757754205,-55.76299745003791,-56.70543610889764,0.04132848780772999,0.042598955900750385,0.10976679788694882,0.10902990287696546,0.022412992595573385,0.023297801762807446,0.0353590605143431,0.03494115469769169
15,s1_clean,6.672474944256793,3.2764536300776967,False,False,False,-58.89999737819772,-57.296374923792584,-47.76690953267899,-51.278190557888465,-56.70301905022487,-57.060062763818294,0.036072114842552926,0.03641480780958312,0.1354364503366645,0.13528766936133277,0.02113415098153786,0.020771058060485053,0.03660563955529473,0.035619876399163045
16,s1_clean,6.801426487780192,3.2605086161445698,False,False,False,-57.5591613111199,-57.473016174816784,-51.75630823176274,-50.97299196539892,-55.203001122347395,-57.14406501617929,0.03605874570134185,0.0349130581022596,0.1426900648632893,0.14233942517661052,0.020799660797128392,0.020195298678198036,0.034301749943232214,0.03584311991493248
17,s1_clean,7.202662568049404,3.119170050557377,False,False,False,-59.97001652321384,-57.96414118336226,-50.50151593157733,-49.764596888214996,-57.99649598662075,-57.55480729834844,0.03090233761878699,0.030940364879521443,0.17046511299210798,0.16982863288660544,0.01883196233218535,0.01821818871130076,0.03512465710877246,0.035139197636185324
18,s1_clean,7.355464000343399,3.083507848130031,False,False,False,-57.68804852670508,-58.15690054365142,-49.82327945689669,-49.32703245763513,-56.858538184234455,-57.68826347110546,0.03003042565651667,0.029537748488764184,0.17844675275889849,0.17890957047705006,0.017629112120733263,0.017589255438058157,0.033421104968293106,0.03498054169942877
19,s1_clean,7.503183997832102,2.737386539567276,False,False,False,-56.03566334011392,-58.2181256268744,-46.179298084274706,-47.92990774718165,-57.57930881486684,-58.23668225961292,0.03027511774621904,0.028711892875105574,0.20756967599746284,0.20874364293664138,0.018237451856649312,0.01613420182601896,0.030757574004199595,0.03130681543848783
